Medal,Name,Games,Sport,Event
Silver,Namig Abdullayev,1996 Atlanta,Wrestling,Men 's freestyle flyweight
Gold,Zemfira Meftahatdinova,2000 Sydney,Shooting,Women 's skeet
Gold,Namig Abdullayev,2000 Sydney,Wrestling,Men 's freestyle flyweight
Bronze,Vugar Alakbarov,2000 Sydney,Boxing,Men 's middleweight
Gold,Farid Mansurov,2004 Athens,Wrestling,Men 's Greco-Roman lightweight
Bronze,Fuad Aslanov,2004 Athens,Boxing,Men 's flyweight
Bronze,Aghasi Mammadov,2004 Athens,Boxing,Men 's bantamweight
Bronze,Irada Ashumova,2004 Athens,Shooting,Women 's 25 m pistol
Bronze,Zemfira Meftahatdinova,2004 Athens,Shooting,Women 's skeet
Gold,Elnur Mammadli,2008 Beijing,Judo,Men 's 73 kg
Silver,Rovshan Bayramov,2008 Beijing,Wrestling,Men 's Greco-Roman 55 kg
Bronze,Shahin Imranov,2008 Beijing,Boxing,Men 's featherweight
Bronze,Movlud Miraliyev,2008 Beijing,Judo,Men 's 100 kg
Bronze,Mariya Stadnik,2008 Beijing,Wrestling,Women 's freestyle 48 kg
Bronze,Khetag Gazyumov,2008 Beijing,Wrestling,Men 's freestyle 96 kg
Gold,Toghrul Asgarov,2012 London,Wrestling,Men 's freestyle 60 kg
Gold,Sharif Sharifov,2012 London,Wrestling,Men 's freestyle 84 kg
Silver,Rovshan Bayramov,2012 London,Wrestling,Men 's Greco-Roman 55 kg
Silver,Mariya Stadnik,2012 London,Wrestling,Women 's freestyle 48 kg
Bronze,Teymur Mammadov,2012 London,Boxing,Men 's heavyweight
