ROSTER,#,POS,HT,COLLEGE
Jay Ramirez,2,Guard-Forward,60 ',University of the Visayas
Ronnie Magsanoc,5,Guard,59 ',University of the Philippines
Jerry Ruiz,8,Forward,62 ',Letran College
Aristotle Franco,9,Guard,511 ',Lyceum of the Philippines
Joselito Martin,10,Forward,63 ',NCBA
Arnie Tuadles,11,Forward,62 ',University of the Visayas
Romeo Dela Rosa,12,Forward,62 ',Southwestern University
Leo Austria,13,Guard,510 ',Lyceum of the Philippines
Benjie Paras,14,Center,65 ',University of the Philippines
Eduardo Ducut,19,Center-Forward,65 ',Letran College
Richard Bognot,24,Forward,63 ',
Primitivo Mutia,31,Forward,63 ',Southwestern University
Calvin Tuadles,33,Guard,511 ',Southwestern University
Bobby Parks,22,Forward,63 ',Memphis State University
Kevin Williams,7,Guard,62 ',Saint John 's University
