Rank,Name,Nation,TFP,SP,FS
1,Ruslan Novoseltsev,Russia,3.5,3,2
2,Cornel Gheorghe,Romania,3.5,1,3
3,Alexander Abt,Russia,5.0,8,1
4,Li Chengjiang,China,5.0,2,4
5,Li Yunfei,China,8.0,4,6
6,Seichi Suzuki,Japan,10.0,10,5
7,Oleg Tataurov,Russia,10.0,6,7
8,Gabriel Monnier,France,10.5,5,8
9,Naoki Shigematsu,Japan,13.5,7,10
10,Matthew Kessinger,United States,15.0,12,9
11,Yevgeny Martynov,Ukraine,15.5,11,11
12,Johnny Rønne Jensen,Denmark,16.5,9,12
13,Frédéric Dambier,France,20.0,14,13
14,Gheorghe Chiper,Romania,21.5,15,14
15,Shin Amano,Japan,22.5,13,16
16,Margus Hernits,Estonia,23.0,16,15
17,Jayson Arnold Peace,Canada,26.5,19,17
18,Kim Se-yol,South Korea,26.5,17,18
19,Jin Yun-ki,South Korea,28.0,18,19
