Name,Degree,Year,Mission
James Alan Abrahamson,SB - Aeronautics/Astronautics,1955,Manned Orbital Laboratory ( selected but program canceled )
Buzz Aldrin,ScD - Aeronautics/Astronautics,1963,"Gemini 12 , Apollo 11"
Dominic Antonelli,SB - Aeronautics/Astronautics,1989,STS-119
Jerome Apt,PhD - Physics,1976,"STS-37 , STS-47 , STS-59 , STS-79"
Kenneth Cameron,"SB , SM - Aeronautics/Astronautics","1978 , 1979","STS-37 , STS-56 , STS-74"
Gregory Chamitoff,PhD - Aeronautics/Astronautics,1992,"STS-124 , Expedition 17 , Expedition 18 , STS-126"
Franklin Chang-Diaz,ScD - Nuclear Engineering,1977,"STS-61-C , STS-34 , STS-46 , STS-60 , STS-75 , STS-91 , STS-111"
Philip K. Chapman,"SM , PhD","1964 , 1967",1967
Catherine Cady Coleman,SB - Chemistry,1983,"STS-73 , STS-93"
Timothy Creamer,SM,1992,
Charles Duke,SM - Aeronautics/Astronautics,1964,Apollo 16
Anthony W. England,"SB , SM , PhD - Earth , Atmosphere , and Planetary Sciences","1965 , 1965 , 1970",STS-51-F
Mike Fincke,"SB - Aeronautics/Astronautics ; SB Earth , Atmosphere , and Planetary Sciences",1989,"Soyuz TMA-4 , Expedition 9 , Soyuz TMA-13 , Expedition 18 , STS-134"
John Grunsfeld,SB - Physics,1980,"STS-67 , STS-81 , STS-103 , STS-109 , STS-125"
Nick Hague,SM - Aeronautics/Astronautics,2000,"Soyuz MS-10 , Soyuz MS-12 ( Expedition 59 / 60 )"
Terry Hart,SM - Mechanical Engineering,1969,STS-41-C
Frederick Hauck,SM - Nuclear Engineering,1966,"STS-7 , STS-51-A , STS-26"
Wendy Lawrence,SM - Ocean Engineering,1988,"STS-67 , STS-86 , STS-91 , STS-114"
Mark C. Lee,SM - Mechanical Engineering,1980,"STS-30 , STS-47 , STS-64 , STS-81"
William B. Lenoir,"SB , SM , PhD - Electrical Engineering","1961 , 1962 , 1965",STS-5
