Name,M,G,Degree,Notes
Sir Henry Bagenal,1572/3,DNG,-,"Bagenal left without taking a degree to support his father , who was marshal of the army in Ireland , and succeeded him in 1590 . He was mortally wounded at the Battle of the Yellow Ford in 1598"
Angus Buchanan,1913,1921,BA Jurisprudence ( initially Literae Humaniores ),"Buchanan won the Victoria Cross ( 1916 ) for conspicuous bravery in rescuing a severely wounded officer under fire . He was blinded when shot in 1917 . On returning to the college in 1919 , he read law and became president of the Jesus College Record"
Jenkin Jones,1639,DNG,-,"Captain in the Parliamentarian army during the English Civil War , and a Puritan preacher"
"Sir Charles Kemeys , 2nd Baronet",1632,DNG,-,"Royalist who fought during the English Civil War , attacking Cardiff and defending Pembroke Castle"
T. E. Lawrence,1907,1910,BA Modern History ( 1st ),Lawrence of Arabia
Henry Lloyd,1736 ?,1739 ?,?,18th-century soldier who fought for various European countries ( switching sides in the Seven Years ' War ) and whose writings on military theory were studied by George Washington and George S. Patton
Jim Mauldon,1938,1947,BA Mathematics ( 1st ),"Studies interrupted by military service during the Second World War , during which he won the Military Cross ; later became Professor of Mathematics at Amherst College in the United States"
"Sir Edward Morgan , 1st Baronet",1616,1619,BA,"Royalist who held a commission during the Bishops ' War and the English Civil War , before being captured at Hereford and suffering the sequestration of his estate"
Thomas Morgan,-,1790,?,Matriculated from Wadham College ; a naval chaplain who was injured during the Glorious First of June battle and involved in the Spithead mutiny before becoming chaplain of the naval dockyard at Portsmouth
Anton Muttukumaru,1928,1931,BA PPE ( 4th ),First Ceylonese-born officer to serve as Commander of the Ceylon Army ( 1955-59 )
Chris Parry,1972,1975,BA Modern History,Rear admiral and military strategist
