No,Peak,Country,Elevation ( m ),Prominence ( m ),Col ( m )
1,Mount Everest,Nepal / China,"8,848","8,848",0
2,Manaslu,Nepal,"8,163","3,092",5071
3,Annapurna I,Nepal,"8,091","2,984",5107
4,Shishapangma,China,"8,027","2,897",5130
5,Annapurna II,Nepal,"7,937","2,437",5500
6,Makalu,Nepal / China,"8,485","2,378",6107
7,Yangra,Nepal / China,"7,422","2,352",5070
8,Cho Oyu,Nepal / China,"8,188","2,340",5848
9,Chamar,Nepal,"7,165","2,061",5104
10,Labuche Kang,China,"7,367","1,957",5410
11,Nemjung,Nepal,"7,140","1,920",5220
12,Tsanglha Ri ( Zang La ),China,"6,495","1,712",4783
13,Himalchuli,Nepal,"7,893","1,633",6260
14,Pangpoche,Nepal,"6,620","1,622",4998
15,Gauri Sankar,Nepal / China,"7,146","1,600",5546
16,Melungtse,China,"7,181","1,551",5630
17,Langtang Lirung,Nepal,"7,234","1,534",5700
