District,Name,Political party
At-large,Brenda López de Arrarás,PPD
At-large,Charlie Hernández,PPD
At-large,Eduardo Ferrer Ríos,PPD
At-large,Jaime Perelló,PPD
At-large,Jorge Colberg Toro,PPD
At-large,Luis Vega Ramos,PPD
District 2,Luis Raúl Torres,PPD
District 3,Sonia Pacheco,PPD
District 4,José Luis Báez,PPD
District 11,Rafael Tatito Hernández,PPD
District 15,César Hernández,PPD
District 16,José Tony Rodríguez,PPD
District 17,Armando Franco,PPD
District 19,Efraín de Jesús,PPD
District 20,Carlos Bianchi Angleró,PPD
District 21,Lydia Méndez Silva,PPD
District 23,Nelson Torres Yordán,PPD
District 25,Víctor Cacho Vassallo,PPD
District 27,José Pito Torres,PPD
District 29,Carlos Vargas Ferrer,PPD
