Year,Host city,Gold,Silver,Bronze,4th Place
2018,Namwon,Australia,Macau,Japan,India
2016,Lishui,Macau,India,Chinese Taipei,Japan
2014,Haining,Macau,Chinese Taipei,Japan,India
2012,Hefei,Macau,India,Chinese Taipei,Australia
2010,,Japan,Chinese Taipei,India,
2010,Dalian,Macau,Japan,India,Chinese Taipei
2007,Calcutta,Macau,Japan,India,Pakistan
2005,Jeonju,Macau,Japan,South Korea,Chinese Taipei
2004,Akita,Macau,Japan,Australia,Chinese Taipei
2001,Taitung,North Korea,China,Macau,Japan
1999,Shanghai,Japan,Macau,,
1997,Kangnung,Macau,Japan,,
1995,,Japan,Macau,China,South Korea
1991,,Macau,China,Japan,India
1989,,Japan,Macau,,
1987,,Macau,India,Japan,Chinese Taipei
