Team,City,Home venue,Capacity
Black Mambas,Harare,Morris Depot Police Camp,5000
Black Rhinos,Harare,Rufaro Stadium,35000
Buffaloes,Mutare,Sakubva Stadium,10000
CAPS United,Harare,National Sports Stadium,60000
Chicken Inn,Bulawayo,Luveve Stadium,8000
Dynamos,Harare,Rufaro Stadium,35000
FC Platinum,Zvishavane,Mandava Stadium,3000
Harare City,Harare,Rufaro Stadium,35000
Highlanders,Bulawayo,Barbourfields Stadium,32000
How Mine,Bulawayo,White City Stadium,20000
Hwange,Hwange,Colliery Stadium,15000
Monomotapa United,Harare,Gwanzura Stadium,10000
Motor Action,Harare,Motor Action Sports Club,1000
Shabanie Mine,Zvishavane,Maglas Stadium,5000
Triangle United F.C,Chiredzi,Gibbo Stadium,3000
Triple B,Beitbridge,Dulibadzimu Stadium,4000
