Team,Location,Stadium,Stadium capacity
ATM,Selangor,Majlis Perbandaran Selayang Stadium,"25,000"
Johor,Johor,Tan Sri Dato Hj Hassan Yunos Stadium,"30,000"
Harimau Muda B,Selangor,Majlis Perbandaran Selayang Stadium,"25,000"
Sime Darby,Selangor,Petaling Jaya Stadium,"25,000"
MP Muar,Johor,Pasir Gudang Corporation Stadium,"15,000"
PDRM,Negeri Sembilan,Tuanku Abdul Rahman Stadium,"30,000"
PKNS,Selangor,Petaling Jaya Stadium,"25,000"
Pos Malaysia,Selangor,Majlis Perbandaran Selayang Stadium,"25,000"
Penang,Penang,Negeri Pulau Pinang Stadium,"40,000"
Sarawak,Sarawak,Sarawak Stadium Sarawak State Stadium,"40,000 26,000"
SDMS Kepala Batas,Penang,Negeri Pulau Pinang Stadium,"40,000"
USM,Penang,USM Athletics Stadium,800
