Year,Performing artist ( s ),Work,Nominees
1981,Ella Fitzgerald,A Perfect Match,"Betty Carter - The Audience with Betty Carter Helen Humes - Helen Humes and the Muse All Stars Helen Merrill - Chasin ' the Bird Sarah Vaughan - The Duke Ellington Songbook , Vol . 1"
1982,Ella Fitzgerald,Digital III at Montreux,Ernestine Anderson - Never Make Your Move Too Soon Helen Humes - Helen Etta Jones - Save Your Love for Me Janet Lawson - The Janet Lawson Quintet
1983,Sarah Vaughan,Gershwin Live !,Ella Fitzgerald - A Classy Pair Chaka Khan - Echoes of an Era Cleo Laine - Smilin ' Through Maxine Sullivan - Maxine Sullivan with the Ike Isaacs Quartet
1984,Ella Fitzgerald,The Best Is Yet to Come,Ernestine Anderson - Big City Betty Carter - Whatever Happened to Love ? Sue Raney - Sue Raney Sings the Music of Johnny Mandel Sarah Vaughan - Crazy and Mixed Up
1985,-,-,-
1986,Cleo Laine,Cleo at Carnegie : The 10th Anniversary Concert,Cheryl Bentyne - Meet Benny Bailey Tania Maria - Made in New York Flora Purim - 20 Years Blue Janis Siegel - Sing Joy Spring Maxine Sullivan - The Great Songs from the Cotton Club
1987,Diane Schuur,Timeless,"Etta James - Blues in the Night , Volume 1 : The Early Show Flora Purim - Esquinas Sue Raney - Flight of Fancy Maxine Sullivan - Uptown"
1988,Diane Schuur,Diane Schuur & the Count Basie Orchestra,Ella Fitzgerald - Easy Living Carmen McRae - Any Old Time Janis Siegel - At Home Sarah Vaughan - Brazilian Romance
1989,Betty Carter,Look What I Got !,Lena Horne - The Men in My Life Rickie Lee Jones - Autumn Leaves Peggy Lee - Miss Peggy Lee Sings the Blues Carmen McRae - Fine and Mellow
1990,Ruth Brown,Blues on Broadway,Dee Dee Bridgewater - Live in Paris Anita O'Day - In a Mellow Tone Diane Schuur - The Christmas Song Janis Siegel - Short Stories
1991,Ella Fitzgerald,All That Jazz,Betty Carter - Droppin ' Things Peggy Lee - The Peggy Lee Songbook : There 'll Be Another Spring Carmen McRae - Carmen Sings Monk Dianne Reeves - I Got It Bad and Ai n't That Good
