Medal,Championship,Name,Event
Silver,2010 Pruszków,Tim Veldt,Men 's omnium
Bronze,2010 Pruszków,Levi Heimans Arno van der Zwet Tim Veldt Sipke Zijlstra,Men 's team pursuit
Bronze,2011 Apeldoorn,Kirsten Wild,Women 's omnium
Gold,2013 Apeldoorn,Elis Ligtlee,Women 's keirin
Gold,2013 Apeldoorn,Kirsten Wild,Women 's points race
Silver,2013 Apeldoorn,Elis Ligtlee,Women 's sprint
Silver,2013 Apeldoorn,Tim Veldt,Men 's omnium
Silver,2013 Apeldoorn,Kirsten Wild,Men 's omnium
Bronze,2013 Apeldoorn,Tim Veldt Dion Beukeboom Roy Eefting Jenning Huizenga,Men 's team pursuit
Silver,2014 Guadeloupe,Matthijs Buchli,Men 's keirin
Silver,2014 Guadeloupe,Elis Ligtlee,Women 's 500 m time trial
Bronze,2014 Guadeloupe,Elis Ligtlee Shanne Braspennincx,Women 's team sprint
Bronze,2014 Guadeloupe,Shanne Braspennincx,Women 's keirin
Gold,2015 Grenchen,Nils van 't Hoenderdaal Jeffrey Hoogland Hugo Haak,Men 's team sprint
Gold,2015 Grenchen,Jeffrey Hoogland,Men 's sprint
Gold,2015 Grenchen,Elis Ligtlee,Women 's sprint
Gold,2015 Grenchen,Jeffrey Hoogland,Men 's 1 km time trial
Gold,2015 Grenchen,Elis Ligtlee,Women 's keirin
Silver,2015 Grenchen,Elis Ligtlee,Women 's 500 m time trial
Silver,2015 Grenchen,Kirsten Wild,Women 's scratch
