Rank in 2014,Club,Revenue ( € million ),Country,Rank in 2013,Change
1,Real Madrid,518.9,Spain,1,-
2,Barcelona,482.6,Spain,2,-
3,Bayern Munich,431.2,Germany,4,+1
4,Manchester United,423.8,England,3,−1
5,Paris Saint - Germain,398.8,France,10,+5
6,Manchester City,316.2,England,7,+1
7,Chelsea,303.4,England,5,−2
8,Arsenal,284.3,England,6,−2
9,Juventus,272.4,Italy,13,+4
10,Milan,263.5,Italy,8,−2
11,Borussia Dortmund,256.2,Germany,12,+1
12,Liverpool,240.6,England,9,−3
13,Schalke 04,198.2,Germany,15,+2
14,Tottenham Hotspur,172,England,14,-
15,Internazionale,168.8,Italy,11,−4
16,Galatasaray,157,Turkey,19,+3
17,Hamburger SV,135.4,Germany,20,+3
18,Fenerbahçe,126.4,Turkey,31+,
19,Roma,124.4,Italy,21,+2
20,Atlético Madrid,120,Spain,25,+5
