Stadium,Capacity,City,State,Home team/Use for,Opened
Bukit Jalil National Stadium,"87,411",Kuala Lumpur,Kuala Lumpur,Malaysia national football team,1996
Shah Alam Stadium,"80,372",Shah Alam,Selangor,PKNS F.C . Selangor FA,1994
Sultan Mizan Zainal Abidin Stadium,"50,000",Kuala Terengganu,Terengganu,Terengganu FA,2008
Batu Kawan Stadium,"40,000",Batu Kawan,Penang,FA Penang,2000
Hang Jebat Stadium,"40,000",Melaka,Melaka,Melaka United,2004
Sarawak Stadium,"40,000",Kuching,Sarawak,Sarawak FA,1997
Stadium Merdeka,"25,000",Kuala Lumpur,Kuala Lumpur,Soccer,1957
Tuanku Abdul Rahman Stadium,"45,000",Seremban,Negeri Sembilan,Negeri Sembilan FA,1992
Perak Stadium,"30,000",Ipoh,Perak,Perak FA,1965
Darul Makmur Stadium,"41,895",Kuantan,Pahang,Pahang FA,1970
Likas Stadium,"35,000",Kota Kinabalu,Sabah,Sabah FA,
Darul Aman Stadium,"32,387",Alor Star,Kedah,Kedah FA,1962
Tan Sri Dato Hj Hassan Yunos Stadium,"30,000",Johor Bahru,Johor,Johor Darul Ta'zim F.C,1964
Sultan Ismail Nasiruddin Shah Stadium,"15,000",Kuala Terengganu,Terengganu,Terengganu FC,1967
Petaling Jaya Stadium,"25,000",Petaling Jaya,Selangor,Petaling Jaya City FC,1996
City Stadium,"25,000",Georgetown,Penang,,1932
Tuanku Syed Putra Stadium,"20,000",Kangar,Perlis,Perlis Northern Lions F.C,1995
Kuala Lumpur Stadium,"18,000",Kuala Lumpur,Kuala Lumpur,Kuala Lumpur FA,
Putra Indoor Stadium,"10,000",Kuala Lumpur,Kuala Lumpur,,
Pasir Gudang Corporation Stadium,"15,000",Pasir Gudang,Johor,Johor Darul Ta'zim II F.C,
