Racecourse,Location,Country,Closed
Aldershot Racecourse,Hampshire,England,1927
Alexandra Park Racecourse,North London,England,8 September 1970
Anglesey Racecourse,Anglesey,Wales,1903
Atherstone Racecourse,Warwickshire,England,
Banbury Racecourse,Oxfordshire,England,
Blackpool Racecourse,Lancashire,England,1915
Bogside Racecourse,Ayrshire,Scotland,10 April 1965
Bournemouth Racecourse,Hampshire,England,1928
Brocklesby Hunt Racecourse,Lincolnshire,England,1935
Bromford Bridge Racecourse,Birmingham,England,21 June 1965
Buckfastleigh Racecourse,Devon,England,27 August 1960
Cardiff Racecourse,Glamorgan,Wales,1939
Chelmsford Racecourse,Essex,England,April 1935
Chesterfield Racecourse,Derbyshire,England,
Colwall Park Racecourse,Worcestershire,England,1949
Croxton Racecourse,Leicestershire,England,
Derby Racecourse,Derbyshire,England,9 August 1939
Durham Racecourse,County Durham,England,
Eglinton Racecourse,County Londonderry,Northern Ireland,
Eridge Racecourse,Sussex,England,
