Work,Location,Notes and References
Buckingham Palace gates,"Buckingham Palace , London","From 1905 to 1911 , The Bromsgrove Guild and Walter Gilbert were commissioned to design and manufacture a Royal Coat of Arms for the Buckingham Palace Gates and embellishments for The Great Gates of Canada and the Australian Screens all opposite the Victoria Memorial , as well as lamps for the Palace gates"
"Moreton Hall , Warwickshire","Moreton Morrell , Warwickshire",A centaur handrail made for this house was destroyed by fire in 1908
"Trowel , Level and Mallet",Whereabouts unknown,"In 1907 Gilbert designed and had manufactured a trowel , level and mallet to be used for the ceremony of laying the foundation stone for the Edward VII Galleries at the British Museum"
British Museum,London,The lift enclosure for the British Museum Extension ( Edward VII Galleries ) dates from around 1907 . The enclosure features the Royal Coats of Arms . This work was arranged by Walter Gilbert in association with The Bromsgrove Guild
Lyons 's Restaurant at the Franco-British Exhibition at Shepherd 's Bush . London,"Whereabouts unknown , thought destroyed",Plaster enrichment for a Lyon 's Restaurant
RMS Lusitania,Vessel sunk 7 May 1915,"In 1908 Gilbert designed and had manufactured two reliefs as interior fittings for the Cunard liner , RMS Lusitania . One was entitled The music of the sea and of the winds and the other Amorini upsetting the emblems of time"
The Vines Public House,"Lime Street , Liverpool",Gilbert carried out plasterwork for the smoke-room of this public house in 1908 . The theme was Harvest
Warwickshire College of Agriculture,"Moreton Morrell , Staffordshire","Walter worked on a fountain for Moreton Hall , now the Warwickshire College of Agriculture"
Battle of Jutland Medal,"Greenwich , Outer London","For the British Museum , Gilbert worked on the 1916 bronze Battle of Jutland Medal . This is held in the collection of the National Maritime Museum in Greenwich . The medal , which featured busts of Admirals John Jellicoe and David Beatty , was produced in response to a competition conceived by Sir Arthur Evans for a medal to commemorate the Battle of Jutland of 1916 . Gilbert designed the obverse around the busts of Admirals Jellicoe and Beatty and the reverse is by Charles Wheeler . Gilbert 's medal came third . The Royal Numismatic Society arranged for the three winning models to be struck in bronze"
Welbeck Abbey,"Welbeck , Nottinghamshire","In around 1926 and working with Weingartner , Gilbert executed two wall plaques for the chapel of Welbeck Abbey near Worksop . One was entitled Grieving Mother and the second Mourning Knight"
