#,Song,Artist,Country of origin
1,My Happiness,Powderfinger,Australia
2,Beautiful Day,U2,Ireland
3,My Kind of Scene,Powderfinger,Australia
4,Teenage Dirtbag,Wheatus,United States
5,Yellow,Coldplay,United Kingdom
6,Frontier Psychiatrist,The Avalanches,Australia
7,Californication,Red Hot Chili Peppers,United States
8,Generator,Foo Fighters,United States
9,Every Fucking City,Paul Kelly,Australia
10,Bohemian Like You,The Dandy Warhols,United States
11,Rip It Up,28 Days,Australia
12,Dirty Jeans,Magic Dirt,Australia
13,Sleep Now in the Fire,Rage Against the Machine,United States
14,Minority,Green Day,United States
15,Teenager of the Year,Lo-Tel,Australia
16,Unsent Letter,Machine Gun Fellatio,Australia
17,Gravity,The Superjesus,Australia
18,Stacked Actors,Foo Fighters,United States
19,Pictures in the Mirror,The Living End,Australia
20,Not the Same,Bodyjar,Australia
