State,Area,Old-growth extent,WWF ecoregion,Old-growth forest type
Alabama,Sipsey Wilderness,,Appalachian mixed mesophytic forests,"Eastern Hemlock , American Beech , Sweet Birch , White Oak , Tulip Poplar"
Alaska,Tongass National Forest,"5,400,000 acres ( 2,200,000 ha )","Northern Pacific coastal forests , Pacific Coastal Mountain icefields and tundra","Western Red Cedar , Sitka Spruce , Western Hemlock"
Arkansas,White River National Wildlife Refuge,973 acres ( 394 ha ),Mississippi lowland forests,"American Sweetgum , Nuttall 's Oak , Willow Oak , Sugarberry , American Elm , Green Ash , American Sycamore , Pecan , American Elm , Baldcypress"
Arkansas,Ouachita National Forest,"800,000 acres ( 320,000 ha )",,"Post Oak , Shortleaf Pine , Hickory , Northern Red Oak , White Oak , Blackjack Oak , Eastern Redcedar , Gum Bumelia , Winged Elm , Yaupon"
Arkansas,Ozark-St. Francis National Forest,"11,000 acres ( 4,500 ha )",,"Shortleaf Pine , Post Oak , Blackjack Oak , Eastern Black Oak , White Oak , Northern Red Oak"
Arkansas,Hot Springs National Park,320 acres ( 130 ha ),,"Shortleaf Pine , Blackjack Oak , White Oak"
Arkansas,Overflow National Wildlife Refuge,230 acres ( 93 ha ),,"American Beech , Sugar Maple"
California,Yosemite National Park,"225,510 acres ( 91,260 ha )",Sierra Nevada forests,"Giant Sequoia , Ponderosa Pine , Jeffrey Pine , Sugar Pine , White Fir , California Incense Cedar , Coast Douglas-fir , Red Fir , Western White Pine , Lodgepole Pine , Foxtail Pine"
California,Sequoia - Kings Canyon National Park,"202,430 acres ( 81,920 ha )",Sierra Nevada forests,"Giant Sequoia , Ponderosa Pine , Jeffrey Pine , Sugar Pine , White Fir , Red Fir , California Incense Cedar"
California,Lassen Volcanic National Park,"27,130 acres ( 10,980 ha )",Sierra Nevada forests,"Ponderosa Pine , Jeffrey Pine , Sugar Pine , White Fir , Red Fir , Western White Pine , Mountain Hemlock , Lodgepole Pine , Whitebark Pine"
California,Redwood National and State Parks,"38,982 acres ( 15,775 ha ) or more",Northern California coastal forests,Coast Redwood
California,Humboldt Redwoods State Park,"23,600 acres ( 9,600 ha )",Northern California coastal forests,Coast Redwood
California,Muir Woods National Monument,240 acres ( 97 ha ),California interior chaparral and woodlands,Coast Redwood
California,Samuel P. Taylor State Park,600 acres ( 240 ha ),California interior chaparral and woodlands,Coast Redwood
California,Big Basin Redwoods State Park,"10,800 acres ( 4,400 ha )",Northern California coastal forests,Coast Redwood
California,Henry Cowell Redwoods State Park,200 acres ( 81 ha ),Northern California coastal forests,"Coast Redwood , Coast Douglas-fir , Pacific Madrone , Ponderosa Pine"
California,Headwaters Forest Reserve,"3,088 acres ( 1,250 ha )",Northern California coastal forests,Coast Redwood
California,Blue oak woodlands,"500,000-2,300,000 acres ( 200,000-930,000 ha )",California interior chaparral and woodlands,Blue Oak
California,Angeles National Forest,"29,000 acres ( 12,000 ha )",California montane chaparral and woodlands,"Jeffrey Pine , Coast Douglas-fir , Ponderosa Pine , White Fir , Lodgepole Pine"
California,Eldorado National Forest,"122,000 acres ( 49,000 ha )",Sierra Nevada forests,"Coast Douglas-fir , Ponderosa Pine , White Fir , Lodgepole Pine , Red Fir"
