Channel ( Analog/HD ),Callsign,Network,Owner,Subchannels
2/8,KJRH-TV,NBC,E.W . Scripps Company,"Bounce TV on DT2 , Laff on DT3"
6/55,KOTV -TV/DT,CBS,Griffin Communications,"The CW ( Simulcast of KQCW-DT on DT2 , News on 6 Now on DT3"
8/10,KTUL -TV/DT,ABC,Sinclair Broadcast Group,"Comet TV on DT2 , Antenna TV on DT3 , TBD on DT4"
11/38,KOED-TV,PBS,Oklahoma Educational Television Authority,"WORLD on DT2 , Create on DT3 , PBS Kids on DT4"
14,KXAP-LD -LD/DT,Estrella TV,Las Americas Supermercado,
17/15,KDOR-TV,TBN,Trinity Broadcasting Network,"Hillsong Channel on DT2 , JUCE TV / Smile on DT3 , Enlace on DT4 , Trinity Broadcasting Network on DT5"
19,KQCW-DT,The CW,Griffin Communications,
23/22,KOKI -TV/DT,FOX,Cox Media Group,"MeTV on DT2 , Escape on DT3"
25,KUTU-CD,Univision,Tyler Media Group,Telemundo on DT2
29,KTZT-CD,Daystar,World of God Fellowship,
35/36,KRSU-TV,Educational,Rogers State University,Educational on DT2
40,K40KC-D,3ABN,Edge Spectrum,"3ABN Proclaim on DT2 , 3ABN Dare to Dream on DT3 , 3ABN Latino on DT4 , 3ABN Radio on DT5 , 3ABN Radio Latino on DT6 , Radio 74 on DT7"
41/42,KMYT-TV /DT,MyNetworkTV,Cox Media Group,"GetTV on DT2 , Grit on DT3 , Heroes & Icons on DT4"
44/28,KTPX-TV,ION Television,ION Media Networks,"Qubo on DT2 , Ion Life on DT3 , Infomercials on DT4 , QVC on DT5 , HSN on DT6"
46,K30OK-D,HSN,Ventana Television,
47/48,KWHB -TV/DT,Religious,LeSEA Broadcasting,"Light TV on DT2 , HSN on DT3"
48,KUOC-LD,Buzzr,DTV America,"Somlife Broadcasting Network on DT2 , Decades on DT3 , Movies ! on DT4 , Unknown on DT5 , Jewelry Television on DT6 , Cozi TV on DT7"
53/49,KGEB -TV/DT,Religious,Oral Roberts University,
