Season,Event type,Location,Format,Date,Rank
1997-98,Grand Prix,Toronto,Block Constructed,30-31 August 1997,6
1997-98,Pro Tour,Mainz,Rochester Draft,5-7 December 1997,2
1997-98,Grand Prix,Madrid,Extended,24-25 January 1998,1
1997-98,Grand Prix,Rio de Janeiro,Extended,29 January-1 February 1998,2
1997-98,Grand Prix,Zurich,Limited,30-31 May 1998,1
1998-99,Grand Prix,Boston,Standard,5-6 September 1998,3
1998-99,Pro Tour,Los Angeles,Limited,26-28 February 1999,1
1998-99,Grand Prix,Oslo,Sealed and Booster Draft,10-11 April 1999,6
1999-00,Pro Tour,Washington D.C,Team Limited,3-5 September 1999,3
1999-00,Masters,New York,Team Limited,14-16 April 2000,2
1999-00,Grand Prix,St. Louis,Team Limited,12-14 May 2000,1
1999-00,Grand Prix,Pittsburgh,Team Limited,23-25 June 2000,3
2000-01,Grand Prix,New Orleans,Sealed and Booster Draft,6-7 January 2001,4
2001-02,Masters,San Diego,Standard,11-13 January 2002,6
2007,Grand Prix,Massachusetts,Two-Headed Giant,31 March-1 April 2007,1
