Year,Artist,Album,Track ( s ),Label,Certification
1998,Kelly Price,Soul of a Woman,Friend of Mine ft. R. Kelly & Ron Isley,Island,2x Platinum
1998,R. Kelly,R,"We Ride ft. Jay-Z , Cam'ron , Noreaga & Vegas Cats ( rap before Jay-Z )",Jive,Diamond
1999,Nas,Nastradamus,"Big Girl Now , New World",Columbia,Platinum
2000,Samantha Mumba,Got ta Tell You,"The Boy ( UK ) , The Boy ft. will.i.am ( US )",Polydor / Interscope,4x Platinum
2000,K-Ci & JoJo,X,Wan na Do You Right,MCA,
2001,N'Sync,Celebrity,Falling ( int ' l rls . bonus track ),Jive,8x Platinum
2002,Michael Jackson,Invincible ( int ' l rls . ),Shout ( Co-prod . w/ Teddy Riley ),Epic,Diamond
2002,Joe,My Name Is Joe,Stutter,Epic,Diamond
2002,Keith Sweat,Rebirth,"Gots to Have It , Anything Goes , Ladies Night , 100% All Man , The Right Stuff , What Is It",Elektra,
2003,Joe,And Then,"Sweeter Than Sugar , And Then , Street Dreams",Jive,Gold
2003,Britney Spears,In The Zone,( I Got That ) Boom Boom,Jive,Diamond
2004,Houston,It 's Already Written,Twizala,Capitol,Gold
2004,Guerilla Black,Guerilla City,Sunrise,Virgin,
2004,Eamon,I Do n't Want You Back,"Girl Act Right , Rather Be With You",Jive,
2008,George Nozuka,Believe,Last Time,HC Entertainment,
2009,Keri Hilson,In A Perfect World,Do It ( iTunes bonus track ),Mosley / Zone-4 / Interscope,Gold
2009,Kristinia DeBarge,Exposed,It 's Got ta Be Love ( co-prod . w/ Babyface ),Sodapop/ Island,
2015,Ana Golja,Full Out Movie Soundtrack,I Feel So Good,,Gold
