Name,Type,Elevation ( m ),Elevation ( ft ),Last eruption date,Location
Boring Lava Field,Volcanic field,"1,236","4,055",Pleistocene,45°40′N 122°41′W / 45.66°N 122.68°W / 45.66 ; -122.68
Rocky Butte,Cinder cone,174,571,Pleistocene,45°32′49″N 122°33′54″W / 45.547°N 122.565°W / 45.547 ; -122.565
Powell Butte,Cinder cone,191,627,Pleistocene,45°29′13″N 122°30′14″W / 45.487°N 122.504°W / 45.487 ; -122.504
Mount Sylvania,Cinder cone,292,958,Pleistocene,45°26′17″N 122°43′16″W / 45.438°N 122.721°W / 45.438 ; -122.721
Mount Hood,Stratovolcano,"3,426","11,240",1866,45°22′26″N 121°41′42″W / 45.374°N 121.695°W / 45.374 ; -121.695
Olallie Butte,Shield volcano,"2,199","7,215",-,44°49′12″N 121°45′50″W / 44.820°N 121.764°W / 44.820 ; -121.764
Mount Jefferson,Stratovolcano,"3,199","10,495",950 AD ?,44°40′26″N 121°47′56″W / 44.674°N 121.799°W / 44.674 ; -121.799
Three Fingered Jack,Shield volcano,"2,390","7,841",Pleistocene,44°28′41″N 121°50′42″W / 44.478°N 121.845°W / 44.478 ; -121.845
Hogg Rock,Tuya,"1,548","5,080",Pleistocene,44°25′19″N 121°52′37″W / 44.422°N 121.877°W / 44.422 ; -121.877
Blue Lake Crater,Maar,"1,230+","4,035",680 AD ± 200 years,44°24′40″N 121°46′26″W / 44.411°N 121.774°W / 44.411 ; -121.774
Hoodoo Butte,Cinder cone,"1,738","5,702",Holocene,44°24′07″N 121°53′02″W / 44.402°N 121.884°W / 44.402 ; -121.884
Sand Mountain Field,Cinder cones,"1,664","5,459",70 AD ± 150 years,44°23′N 121°56′W / 44.38°N 121.93°W / 44.38 ; -121.93
Hayrick Butte,Tuya,"1,683","5,523",Pleistocene,44°23′56″N 121°52′16″W / 44.399°N 121.871°W / 44.399 ; -121.871
Black Butte,Cinder cone,"1,937","6,355",-,44°23′56″N 121°38′02″W / 44.399°N 121.634°W / 44.399 ; -121.634
Mount Washington,Shield volcano,"2,376","7,795","1,330 BP",44°19′55″N 121°50′17″W / 44.332°N 121.838°W / 44.332 ; -121.838
Belknap Crater,Shield volcanoes,"2,095","6,873",480 AD ?,44°17′06″N 121°50′35″W / 44.285°N 121.843°W / 44.285 ; -121.843
Black Crater,Shield volcano,"2,210","7,251",-,44°15′58″N 121°44′53″W / 44.266°N 121.748°W / 44.266 ; -121.748
Three Sisters,Complex volcano,"3,157","10,358","1,600 BP",44°06′N 121°46′W / 44.10°N 121.77°W / 44.10 ; -121.77
Broken Top,Stratovolcano,"2,797","9,055","100,000 BP",44°04′59″N 121°41′56″W / 44.083°N 121.699°W / 44.083 ; -121.699
Pilot Butte,Cinder cone,"1,261","4,138",Pleistocene,44°03′40″N 121°16′59″W / 44.061°N 121.283°W / 44.061 ; -121.283
