Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Robert Kajuga,Rwanda,Long distance,2015,Refusal,4 years
Abubaker Ali Kamal,Qatar,Middle distance,2011,EPO,2 years
Pauline Kahenya,Kenya,Long distance,2013,"Prednisone , Prednisolone",1 year
Alissa Kallinikou,Cyprus,Sprinting,2008,Testosterone,2 years
Tayeb Kalloud,Algeria,Long distance,2008,Norandrosterone,2 years
Svetlana Kanatova,Russia,Middle distance,,,
Vladimir Kanaykin,Russia,Race walking,2008 2011,EPO Biological passport,2 years 8 years
Olga Kaniskina,Russia,Race walking,2009,Biological passport,3 years and 2 months
Adil Kaouch,Morocco,Middle distance,2007,EPO,2 years
Anastasiya Kapachinskaya,Russia,Sprinting,2004,Stanozolol,2 years
Julien Kapek,France,Triple jump,2009,3 Whereabouts Failures within 18-month period,1 year
Natallia Kareiva,Belarus,Middle distance,2010,Biological passport,2 years
Halina Karnatsevich,Belarus,Long distance,2006,Stanozolol,2 years
Yanina Karolchyk-Pravalinskaya,Belarus,Shot put,2003,Clenbuterol,2 years
Mandeep Kaur,India,Sprinting,2011,"Stanozolol , Methandienone",2 years
Ali Ekber Kayas,Turkey,Sprinting,2012,Oxandrolone,2 years
Tatyana Kazankina,Soviet Union,Middle distance,1984,Refusal to submit to doping control,18 months
Héni Kechi,France,Sprinting,2007,Cannabis,3 months
Lisa Kehler,Great Britain,Race walking,2007,Terbutaline,Public warning
Naman Keïta,France,"Hurdling , sprinting",2007,Testosterone precursors,2 years
