S. No,Name,Residence,Website,Stance
1,Abdolkarim Mousavi Ardebili,Iran,Official Website,rejects election as invalid
2,Ali Hosseini Khamenei,Iran,Official Website,position changed twice ; currently blesses results
3,Ali Husaini Sistani,Iraq,Official Website,-
4,Bashir Hussain Najafi,Pakistan & Iraq,Official Website,-
5,Asadollah Bayat Zanjani,Iran,Official Website,"issued a fatwaa stating that if the president was fraudulently elected , then the blessing of the Supreme Leader at the inauguration ceremony would be insufficient for conferring legitimacy"
6,Hossein Mazaheri,Iran,Official Website,-
7,Hossein Noori Hamedani,Iran,Official Website,-
8,Hossein Vahid Khorasani,Iran,Official Website,-
9,Hossein-Ali Montazeri,Iran,Official Website,"supports peaceful protests , condemns violence"
10,Javad Gharavi Aliari,Iran,Official Website,-
11,Kazem Haeri,Iran,Official Website,-
12,Mohammad Asif Mohseni,Afghanistan,Official Website,-
13,Mohammad Baqir al-Mohri,Iran,Official Website,-
14,Mohammad Ebrahim Jannaati,Iran,Official Website,-
15,Mohammad Hussain Najafi,Pakistan,Official website,-
16,Mohammad Hussein Fadlallah,Lebanon,Official Website,-
17,Mohammad Ishaq Al-Fayyad,Iraq,Official Website,-
18,Mohammad Said Al-Hakim,Iraq,Official Website,-
19,Mohammad Shahroudi,Iran,Official Website,-
20,Mohammad Taqi Modaressi,Iraq,Official Website,-
