Name,Location,Date,Cause
Eversole,10°10′N 127°28′E / 10.167°N 127.467°E / 10.167 ; 127.467,28 October 1944,Presumed torpedoed by Japanese submarine I-45
Fechteler,36°07′N 02°40′W / 36.117°N 2.667°W / 36.117 ; -2.667,5 May 1944,Torpedoed by German submarine U-967
Fiske,47°11′N 33°29′W / 47.183°N 33.483°W / 47.183 ; -33.483,2 August 1944,Torpedoed by German submarine U-804
Frederick C. Davis,43°52′N 40°15′W / 43.867°N 40.250°W / 43.867 ; -40.250,24 April 1945,Sunk by German submarine U-546
Holder,Mediterranean Sea,11 April 1944,Irreparably damaged by German aircraft torpedo
Leopold,58°44′N 25°50′W / 58.733°N 25.833°W / 58.733 ; -25.833,9 March 1944,Torpedoed by German submarine U-255
Oberrender,"Off Okinawa , Ryukyus",9 May 1945,Irreparably damaged by Kamikaze aircraft
Rich,49°31′N 1°10′W / 49.517°N 1.167°W / 49.517 ; -1.167 Utah Beach,8 June 1944,Sunk by German mines
Roche,Off Eniwetok,22 September 1945,Irreparably damaged by naval mine
Samuel B. Roberts,"Off Samar Island , Battle off Samar",25 October 1944,Sunk by naval gunfire
Shelton,2°32′N 129°13′E / 2.533°N 129.217°E / 2.533 ; 129.217,3 October 1944,Torpedoed by Japanese Kaichū type submarine Ro-41
Solar,"Naval Ammo Depot , Earle , New Jersey",30 April 1946,Accidental explosion
Underhill,19°20′N 126°42′E / 19.333°N 126.700°E / 19.333 ; 126.700,24 July 1945,Sunk by kaiten suicide torpedo
