Postcode district,Post town,Coverage,Local authority area
RG1,READING,"Katesgrove , Newtown , Reading ( central )",Reading
RG2,READING,"Madejski Stadium , Whitley , Shinfield , Arborfield Garrison , Arborfield","Reading , Wokingham"
RG4,READING,"Caversham , Sonning , Sonning Common , Kidmore End , Sonning Eye , Dunsden Green , Mapledurham , Chazey Heath , Tokers Green , Chalkhouse Green , Cane End","Reading , South Oxfordshire , Wokingham"
RG5,READING,Woodley,Wokingham
RG6,READING,Earley,"Wokingham , Reading"
RG7,READING,"Aldermaston , Bradfield , Burghfield Common , Riseley , Silchester , Mortimer , Swallowfield , Theale , Woolhampton","West Berkshire , Basingstoke and Deane , Wokingham"
RG8,READING,"Goring , Streatley , Pangbourne , Whitchurch-on-Thames","South Oxfordshire , West Berkshire"
RG9,HENLEY-ON-THAMES,"Hambleden , Rotherfield Peppard , Turville , Turville Heath , Skirmett , Rockwell End , Mill End , Fawley , Fingest , Frieth , Greenlands , Nettlebed , Shiplake , Henley-on-Thames","South Oxfordshire , Wycombe"
RG10,READING,"Charvil , Hurst , Ruscombe , Twyford , Wargrave , Waltham St Lawrence","Wokingham , Windsor and Maidenhead"
RG12,BRACKNELL,"Bracknell ( south and town centre ) , Easthampstead , Bullbrook",Bracknell Forest
RG14,NEWBURY,Newbury ( whole town area ),West Berkshire
RG17,HUNGERFORD,"Chilton Foliat , Eastbury , Eddington , Kintbury , Hungerford , Inkpen , Lambourn , North Wessex Downs AONB area","West Berkshire , Wiltshire"
RG18,THATCHAM,"Hampstead Norreys , Hermitage , Thatcham ( north ) , Yattendon",West Berkshire
RG19,THATCHAM,"Ashford Hill with Headley , Bishop 's Green , Greenham , Thatcham ( south )","West Berkshire , Basingstoke and Deane"
RG20,NEWBURY,"Ashmansworth , Chieveley , Compton , Ecchinswell , Leckhampstead , Highclere , Kingsclere , Sydmonton","West Berkshire , Basingstoke and Deane"
RG21,BASINGSTOKE,"Town Centre , Eastrop , Black Dam , Oakridge , South View",Basingstoke and Deane
RG22,BASINGSTOKE,"South Ham , Brighton Hill , Kempshott , Buckskin , Beggarwood",Basingstoke and Deane
RG23,BASINGSTOKE,"Winklebury , Rooksdown , Oakley",Basingstoke and Deane
RG24,BASINGSTOKE,"Popley , Chineham , Sherborne St John",Basingstoke and Deane
RG25,BASINGSTOKE,"Cliddesden , Dummer , Overton , North Waltham",Basingstoke and Deane
