Name,Home state,Presented credentials,Terminated
Leonard Woodcock,Michigan,"March 7 , 1979","February 13 , 1981"
Arthur W. Hummel Jr,Maryland,"September 24 , 1981","September 24 , 1985"
Winston Lord,New York,"November 19 , 1985","April 23 , 1989"
James Lilley,Maryland,"May 8 , 1989","May 10 , 1991"
J. Stapleton Roy,Pennsylvania,"August 20 , 1991","June 17 , 1995"
James R. Sasser,Tennessee,"February 14 , 1996","July 1 , 1999"
Joseph Prueher,Tennessee,"December 15 , 1999","May 1 , 2001"
Clark T. Randt Jr,Connecticut,"July 28 , 2001","January 20 , 2009"
Jon Huntsman Jr,Utah,"August 28 , 2009","April 30 , 2011"
Gary Locke,Washington,"August 16 , 2011","February 21 , 2014"
Max Baucus,Montana,"March 20 , 2014","January 16 , 2017"
Terry E. Branstad,Iowa,"July 12 , 2017",Incumbent
