Year,Name,Location,Opposing Conference
2020-25,"Cotton , Peach , Fiesta , or Playoff","Dallas , Atlanta , Glendale , or Playoff Site",CFP At-Large
2020-25,Fenway Bowl,"Boston , Massachusetts",ACC
2020-25,Military Bowl,"Annapolis , Maryland",ACC
2020/22/24,Hawaiʻi Bowl,"Honolulu , Hawaii",MWC or BYU
2021/23/25,Armed Forces Bowl,"Fort Worth , Texas",Big 12 or Army
2020-25,Cure Bowl,"Orlando , Florida",Sun Belt
2020-25,Boca Raton Bowl,"Boca Raton , Florida",MAC or C-USA
2020-25,Frisco Bowl,"Frisco , Texas","C-USA , MAC , Sun Belt or BYU"
2020-25,Birmingham Bowl,"Birmingham , Alabama",SEC
2020-25,Gasparilla Bowl,"Tampa , Florida",SEC
2020-25,First Responder Bowl,"Dallas , Texas",TBD
2020-25,Myrtle Beach Bowl,"Conway , South Carolina","C-USA , MAC or Sun Belt"
2020-25,New Mexico Bowl,"Albuquerque , New Mexico",TBD
