Name,Water body,Region,Year built
Vesborg Lighthouse,Kattegat,Central Denmark,1858
Hjelm Lighthouse,Kattegat,Central Denmark,1856
Fornæs Lighthouse,Kattegat,Central Denmark,1839
Skagen Lighthouse,Skagerrak,North Denmark,1858
Skagen 's Vippefyr,Skagerrak,North Denmark,1627
Skagen 's White Lighthouse,Skagerrak,North Denmark,1747
Hirtshals Lighthouse,Skagerrak,North Denmark,1863
Rubjerg Knude Lighthouse,Skagerrak,North Denmark,1900
Christiansø Lighthouse,Baltic Sea,Bornholm,1798
Dueodde Lighthouse,Baltic Sea,Bornholm,1962
Hammeren Lighthouse,Baltic Sea,Bornholm,1802
Hammer Odde Lighthouse,Baltic Sea,Bornholm,1885
Rønne Lighthouse,Baltic Sea,Bornholm,1880
Svaneke Lighthouse,Baltic Sea,Bornholm,1919
Lightvessel Gedser Rev,Northern Bay of Mecklenburg,Zealand,1895
Lightvessel XI,Various,Various,1878
Lightvessel I,North Sea,Southern Denmark,1913
Lightvessel XXI,Various,Various,1911
