Club,Location,Home Ground,Nickname,First Season,Premier­ships
Eastern Suburbs,Upper Eastern Suburbs,"Woollahra Oval , Rose Bay",The Beasties,1900,9
Eastwood,The Hills,"T G Millner Field , Marsfield",The Woodies,1947,6
Gordon,Upper North Shore,"chatswood Oval , Chatswood",Highlanders,1936,8
Manly,Lower Northern Beaches,"Manly Oval , Manly",The Marlins,1906,7
Northern Suburbs,Lower North Shore,"North Sydney Oval , North Sydney","The Shoreman , Norths , The Red and Blacks",1900,7
Parramatta,Parramatta,"Granville Park , Merrylands",Two Blues,1934,3
Randwick,Lower Eastern Suburbs,"Coogee Oval , Coogee","Galloping Greens , The Wicks",1914,32
Southern Districts,St. George and The Shire,"Forshaw Park , Sylvania Waters",The Rebels,1989,0
Sydney University,Camperdown,"University Oval No . 2 , Camperdown",The Students,1900,40
Warringah,Upper Northern Beaches,"Pittwater Park , Warriewood","The Rats , Ratties",1971,1
West Harbour,Inner West,"Concord Oval , Concord",Pirates,1900,2
