Name,Alter Ego ( s ),First Appearance,Year
Bishop,Lucas Bishop,X-Men : Days of Future Past,2014
Black Panther,T'Challa,Captain America : Civil War,2016
Blade,Eric Brooks / Daywalker,Blade,1998
Blankman,Darryl Walker,Blankman,1994
Blue Ranger,Billy Cranston,Power Rangers,2017
Catwoman,Patience Phillips,Catwoman,2004
Cobra Bubbles,,Lilo & Stitch,2002
Darwin,Armando Muñoz,X-Men : First Class,2011
Falcon,Sam Wilson,Captain America : The Winter Soldier,2014
Frozone,Lucius Best,The Incredibles,2004
Hancock,John Hancock,Hancock,2008
Heimdall,,Thor,2011
Heavy Duty,Lamont A. Morris,G.I . Joe : The Rise of Cobra,2009
Human Torch,Johnny Storm,Fantastic Four,2015
The Golden Blaze,Gregory Fletcher,The Golden Blaze,2005
Kestrel,John Wraith,X-Men Origins : Wolverine,2009
Kiddy Phenil,,Silent Möbius,1992
The Invisible Boy,,Mystery Men,1999
Jax,Major Jackson Briggs,Mortal Kombat,1993
Meteor Man,Jefferson Reed,The Meteor Man,1993
