Games,Gold,Silver,Bronze
1980 Lake Placid details,Frank Ullrich East Germany,Vladimir Alikin Soviet Union,Anatoly Alyabyev Soviet Union
1984 Sarajevo details,Eirik Kvalfoss Norway,Peter Angerer West Germany,Matthias Jacob East Germany
1988 Calgary details,Frank-Peter Roetsch East Germany,Valeriy Medvedtsev Soviet Union,Sergei Tchepikov Soviet Union
1992 Albertville details,Mark Kirchner Germany,Ricco Groß Germany,Harri Eloranta Finland
1994 Lillehammer details,Sergei Tchepikov Russia,Ricco Groß Germany,Sergei Tarasov Russia
1998 Nagano details,Ole Einar Bjørndalen Norway,Frode Andresen Norway,Ville Räikkönen Finland
2002 Salt Lake City details,Ole Einar Bjørndalen ( 2 ) Norway,Sven Fischer Germany,Wolfgang Perner Austria
2006 Turin details,Sven Fischer Germany,Halvard Hanevold Norway,Frode Andresen Norway
2010 Vancouver details,Vincent Jay France,Emil Hegle Svendsen Norway,Jakov Fak Croatia
2014 Sochi details,Ole Einar Bjørndalen ( 3 ) Norway,Dominik Landertinger Austria,Jaroslav Soukup Czech Republic
2018 Pyeongchang details,Arnd Peiffer Germany,Michal Krčmář Czech Republic,Dominik Windisch Italy
