Dates,Tournament,Host country,Winner
2-5 Feb,Gold Coast RACV Australian Ladies Masters,Australia,Christel Boeljon ( 2 )
9-12 Feb,ISPS Handa Women 's Australian Open,Australia,Jessica Korda ( n/a )
17-19 Feb,ISPS Handa New Zealand Women 's Open,New Zealand,Lindsey Wright ( n/a )
2-4 Mar,World Ladies Championship,China,Shanshan Feng ( n/a ) - individual Shanshan Feng and Liying Ye - team
22-25 Mar,Lalla Meryem Cup,Morocco,Karen Lunn ( 10 )
3-5 May,Aberdeen Asset Management Ladies Scottish Open,Scotland,Carly Booth ( 1 )
10-13 May,Turkish Airlines Ladies Open,Turkey,Christel Boeljon ( 3 )
24-27 May,UniCredit Ladies German Open,Germany,Anne-Lise Caudal ( 2 )
1-3 Jun,Deloitte Ladies Open,Netherlands,Carlota Ciganda ( 1 )
8-10 Jun,Allianz Ladies Slovak Open,Slovakia,Line Vedel ( 1 )
14-17 Jun,Deutsche Bank Ladies Swiss Open,Switzerland,Carly Booth ( 2 )
22-24 Jun,Raiffeisenbank Prague Golf Masters,Czech Republic,Melissa Reid ( 4 )
13-15 Jul,South African Women 's Open,South Africa,Caroline Masson ( 1 )
26-29 Jul,Evian Masters,France,Inbee Park ( n/a )
3-5 Aug,Ladies Irish Open,Ireland,Catriona Matthew ( 5 )
16-18 Aug,ISPS Handa Ladies British Masters,England,Lydia Hall ( 1 )
7-9 Sep,UNIQA Ladies Golf Open,Austria,Caroline Hedwall ( 5 )
13-16 Sep,Ricoh Women 's British Open,England,Jiyai Shin ( n/a )
20-23 Sep,Tenerife Open de España Femenino,Spain,Stacey Keating ( 1 )
4-7 Oct,Lacoste Ladies Open de France,France,Stacey Keating ( 2 )
