Reserve/Reservation,Community,Bands residing,Location
Fort Peck Indian Reservation,Assiniboine and Sioux Tribes,"Hunkpapa , Upper Yanktonai ( Pabaksa ) , Sisseton , Wahpeton , and the Hudesabina ( Red Bottom ) , Wadopabina ( Canoe Paddler ) , Wadopahnatonwan ( Canoe Paddlers Who Live on the Prairie ) , Sahiyaiyeskabi ( Plains Cree-Speakers ) , Inyantonwanbina ( Stone People ) , and Fat Horse Band of the Assiniboine","Montana , US"
Spirit Lake Reservation ( Formerly Devil 's Lake Reservation ),Spirit Lake Tribe ( Mni Wakan Oyate ),"Wahpeton , Sisseton , Upper Yanktonai","North Dakota , US"
Standing Rock Indian Reservation,Standing Rock Sioux Tribe,"Upper Yanktonai , Hunkpapa","North Dakota , South Dakota , US"
Lake Traverse Indian Reservation,Sisseton Wahpeton Oyate,"Sisseton , Wahpeton","South Dakota , US"
Flandreau Indian Reservation,Flandreau Santee Sioux Tribe,"Mdewakanton , Wahpekute , Wahpeton","South Dakota , US"
Cheyenne River Indian Reservation,Cheyenne River Sioux Tribe,"Minneconjou , Blackfoot , Two Kettle , Sans Arc","South Dakota , US"
Crow Creek Indian Reservation,Crow Creek Sioux Tribe,Lower Yanktonai,"South Dakota , US"
Lower Brule Indian Reservation,Lower Brule Sioux Tribe,Brulé,"South Dakota , US"
Yankton Sioux Indian Reservation,Yankton Sioux Tribe,Yankton,"South Dakota , US"
Pine Ridge Indian Reservation,Oglala Lakota,"Oglala , few Brulé","South Dakota , US"
Rosebud Indian Reservation,Rosebud Sioux Tribe ( also as Sicangu Lakota or Upper Brulé Sioux Nation ) ( Sičháŋǧu Oyate ),"Sićangu ( Brulé ) , few Oglala","South Dakota , US"
Upper Sioux Indian Reservation,Upper Sioux Community ( Pejuhutazizi Oyate ),"Mdewakanton , Sisseton , Wahpeton","Minnesota , US"
Lower Sioux Indian Reservation,Lower Sioux Indian Community,"Mdewakanton , Wahpekute","Minnesota , US"
Shakopee-Mdewakanton Indian Reservation ( Formerly Prior Lake Indian Reservation ),Shakopee Mdewakanton Sioux Community,"Mdewakanton , Wahpekute","Minnesota , US"
Prairie Island Indian Community,Prairie Island Indian Community,"Mdewakanton , Wahpekute","Minnesota , US"
Santee Indian Reservation,Santee Sioux Nation,"Mdewakanton , Wahpekute","Nebraska , US"
"Sioux Valley Dakota Nation Reserve , Fishing Station 62A Reserve *",Sioux Valley First Nation,"Sisseton , Mdewakanton , Wahpeton , Wahpekute","Manitoba , Canada"
Dakota Plains Indian Reserve 6A,Dakota Plains First Nation,"Wahpeton , Sisseton","Manitoba , Canada"
Dakota Tipi 1 Reserve,Dakota Tipi First Nation,Wahpeton,"Manitoba , Canada"
"Birdtail Creek 57 Reserve , Birdtail Hay Lands 57A Reserve , Fishing Station 62A Reserve *",Birdtail Sioux First Nation,"Mdewakanton , Wahpekute , Yanktonai","Manitoba , Canada"
