Week,Tournament,Location,Winner
Feb 3-6,Florida Classic,Florida,Fran Quinn ( 2 )
Feb 10-13,Lakeland Classic,Florida,Donnie Hammond ( 1 )
Mar 2-5,Mississippi Gulf Coast Open,Mississippi,Tripp Isenhour ( 1 )
Mar 16-19,Monterrey Open,Mexico,Briny Baird ( 1 )
Mar 30 - Apr 2,Louisiana Open,Louisiana,Rob McKelvey ( 1 )
Apr 13-16,Shreveport Open,Louisiana,Kent Jones ( 1 )
Apr 27-30,South Carolina Classic,South Carolina,Jeff Gallagher ( 2 )
May 4-7,Knoxville Open,Tennessee,J. J. Henry ( 1 )
May 11-14,Richmond Open,Virginia,Steve Runge ( 1 )
May 18-21,Virginia Beach Open,Virginia,Ryuji Imada ( 1 )
Jun 1-4,Steamtown Classic,Pennsylvania,Jeff Hart ( 1 )
Jun 8-11,Dayton Open,Ohio,Ian Leggatt ( 1 )
Jun 15-18,Greater Cleveland Open,Ohio,Deane Pappas ( 1 )
Jun 22-25,Greensboro Open,North Carolina,Kent Jones ( 2 )
Jun 29 - Jul 2,Carolina Classic,North Carolina,Mark Hensby ( 2 )
Jul 6-9,Hershey Open,Pennsylvania,Paul Gow ( 2 )
Jul 13-16,Upstate Classic,South Carolina,Shane Bertsch ( 1 )
Jul 20-23,Wichita Open,Kansas,Ben Crane ( 1 )
Jul 27-30,Dakota Dunes Open,South Dakota,Spike McRoy ( 1 )
August 3-6,Omaha Classic,Nebraska,"David Berganio , Jr. ( 3 )"
