#,Event,Date,City,Venue,Main Event
1,SummerSlam ( 1988 ),"August 29 , 1988","New York City , New York",Madison Square Garden,The Mega Powers ( Hulk Hogan and Randy Savage ) vs . The Mega Bucks ( André The Giant and Ted DiBiase ) with special guest referee Jesse Ventura
2,SummerSlam ( 1989 ),"August 28 , 1989","East Rutherford , New Jersey",Brendan Byrne Arena,Brutus Beefcake and Hulk Hogan vs. Randy Savage and Zeus
3,SummerSlam ( 1990 ),"August 27 , 1990","Philadelphia , Pennsylvania",Spectrum,The Ultimate Warrior ( c ) vs. Rick Rude in a Steel Cage match for the WWF World Heavyweight Championship
4,SummerSlam ( 1991 ),"August 26 , 1991","New York City , New York",Madison Square Garden,"Hulk Hogan and The Ultimate Warrior vs. Sgt . Slaughter , General Adnan , and Colonel Mustafa in a Handicap elimination match with special guest referee Sid Justice"
5,SummerSlam ( 1992 ),"August 29 , 1992","London , England",Wembley Stadium,Bret Hart ( c ) vs . The British Bulldog for the WWF Intercontinental Championship
6,SummerSlam ( 1993 ),"August 30 , 1993","Auburn Hills , Michigan",The Palace of Auburn Hills,Yokozuna ( c ) vs. Lex Luger for the WWF World Heavyweight Championship
7,SummerSlam ( 1994 ),"August 29 , 1994","Chicago , Illinois",United Center,The Undertaker vs . The Undertaker
8,SummerSlam ( 1995 ),"August 27 , 1995","Pittsburgh , Pennsylvania",Civic Arena,Diesel ( c ) vs. King Mabel for the WWF World Heavyweight Championship
9,SummerSlam ( 1996 ),"August 18 , 1996","Cleveland , Ohio",Gund Arena,Shawn Michaels ( c ) vs. Vader for the WWF World Heavyweight Championship
10,SummerSlam ( 1997 ),"August 3 , 1997","East Rutherford , New Jersey",Continental Airlines Arena,The Undertaker ( c ) vs. Bret Hart for the WWF World Heavyweight Championship with special guest referee Shawn Michaels
11,SummerSlam ( 1998 ),"August 30 , 1998","New York City , New York",Madison Square Garden,Stone Cold Steve Austin ( c ) vs . The Undertaker for the WWF Championship
12,SummerSlam ( 1999 ),"August 22 , 1999","Minneapolis , Minnesota",Target Center,Stone Cold Steve Austin ( c ) vs. Mankind vs . Triple H in a Triple Threat match for the WWF Championship with special guest referee Jesse Ventura
13,SummerSlam ( 2000 ),"August 27 , 2000","Raleigh , North Carolina",Raleigh Entertainment and Sports Arena,The Rock ( c ) vs. Kurt Angle vs . Triple H in a Triple Threat match for the WWF Championship
14,SummerSlam ( 2001 ),"August 19 , 2001","San Jose , California",Compaq Center,Booker T ( c ) vs . The Rock for the WCW Championship
15,SummerSlam ( 2002 ),"August 25 , 2002","Uniondale , New York",Nassau Coliseum,The Rock ( c ) vs. Brock Lesnar for the WWE Undisputed Championship
16,SummerSlam ( 2003 ),"August 24 , 2003","Phoenix , Arizona",America West Arena,Triple H ( c ) vs. Chris Jericho vs. Goldberg vs. Kevin Nash vs. Randy Orton vs. Shawn Michaels in an Elimination Chamber match for the World Heavyweight Championship
17,SummerSlam ( 2004 ),"August 15 , 2004","Toronto , Ontario",Air Canada Centre,Chris Benoit ( c ) vs. Randy Orton for the World Heavyweight Championship
18,SummerSlam ( 2005 ),"August 21 , 2005","Washington , D.C",MCI Center,Hulk Hogan vs. Shawn Michaels
19,SummerSlam ( 2006 ),"August 20 , 2006","Boston , Massachusetts",TD Banknorth Garden,Edge ( c ) vs. John Cena for the WWE Championship
20,SummerSlam ( 2007 ),"August 26 , 2007","East Rutherford , New Jersey",Continental Airlines Arena,John Cena ( c ) vs. Randy Orton for the WWE Championship
