Club,Qualified,Champions,Runners-up,Seasons
1 . FC Kaiserslautern,12,2,3,"1942 , 1948 , 1949 , 1950 , 1951 , 1953 , 1954 , 1955 , 1956 , 1957 , 1958 , 1963"
Karlsruher FV,6,1,2,"1903 , 1904 , 1905 , 1910 , 1911 , 1912"
Phönix Karlsruhe,2,1,0,"1909 , 1910"
Karlsruher SC,3,0,1,"1956 , 1958 , 1960"
FV Kassel,1,0,0,1904
CSC Kassel,2,0,0,"1939 , 1940"
SV 06 Kassel,2,0,0,"1937 , 1943"
Holstein Kiel,15,1,2,"1910 , 1911 , 1912 , 1913 , 1926 , 1927 , 1928 , 1929 , 1930 , 1931 , 1932 , 1943 , 1944 , 1953 , 1957"
Kölner BC,1,0,0,1912
CfR Köln,1,0,0,1936
1 . FC Köln,8,1,2,"1953 , 1954 , 1958 , 1959 , 1960 , 1961 , 1962 , 1963"
KSG Köln-Sülz/VfL 99,1,0,0,1944
SC 99 Köln,1,0,0,1906
VfL Köln 99,4,0,0,"1941 , 1942"
VfR Köln,3,0,0,"1926 , 1935 , 1937"
Victoria Köln,1,0,0,1943
Prussia Samland Königsberg,5,0,0,"1910 , 1913 , 1914 , 1931 , 1933"
VfB Königsberg,16,0,0,"1908 , 1909 , 1923 , 1924 , 1925 , 1926 , 1927 , 1928 , 1929 , 1930 , 1931 , 1940 , 1941 , 1942 , 1943 , 1944"
Germania Königshütte,3,0,0,"1942 , 1943 , 1944"
LSV Krakau,2,0,0,"1942 , 1944"
