No,Position,Player,Nation
1,Goalkeeper,Andrew Fontein,United States
2,Defender,Daniel Scott,United States
3,Defender,Andres Arango,Canada
4,Midfielder,Stuart Campbell,Scotland
5,Defender,Kyle Clinton,United States
7,Defender,Frank Sanfilippo ( captain ),United States
8,Midfielder,Luke Mulholland,England
9,Midfielder,Raphael Cox,United States
10,Forward,Georgi Hristov,Bulgaria
11,Midfielder,Shane Hill,England
13,Defender,Thurstan Johnson,United States
14,Defender,Draymond Washington,United States
16,Forward,Amani Walker,Jamaica
17,Defender,Jordan Gafa,United States
18,Defender,Jay Needham,United States
20,Forward,Evans Frimpong,Ghana
21,Forward,Devin Del Do,United States
22,Midfielder,Keith Savage,United States
24,Goalkeeper,Diego Restrepo,United States
25,Forward,Carl Cort,Guyana
