#,Arena,Capacity,City,Home team ( s ),Opened/Renovated
1,Ericsson Globe,"13,850",Stockholm,"Sweden men 's national ice hockey team Djurgårdens IF , AIK ( high-profile games )",1989
2,Malmö Arena,"12,600",Malmö,Malmö Redhawks,2008
3,Scandinavium,"12,044",Gothenburg,Frölunda HC,"1971/1991 , 2006"
4,ABB Arena Syd,"9,000",Västerås,"Västerås SK Bandy , Tillberga IK Bandy",2007
5,Löfbergs Arena,"8,647",Karlstad,Färjestad BK,2001
6,Saab Arena,"8,500",Linköping,Linköping HC,2004
7,Hovet,"8,094",Stockholm,"Djurgårdens IF , AIK",1955/1962
8,Monitor ERP Arena,"7,909",Gävle,Brynäs IF,1967/2006
9,Tegera Arena,"7,650",Leksand,Leksands IF,2005
10,Fjällräven Center,"7,600",Örnsköldsvik,Modo Hockey,2006
,Frölundaborg,"7,600",Gothenburg,Bäcken HC Frölunda HC ( when Scandinavium is unavailable ),1967/2009
12,Kinnarps Arena,"7,000",Jönköping,HV71,1958/2000
13,Coop Norrbotten Arena,"6,300",Luleå,Luleå HF,"1986/2002 , 2009"
,Nobelhallen,"6,300",Karlskoga,BIK Karlskoga,1972
15,Axa Sports Center,"6,200",Södertälje,Södertälje SK,1970/2005
16,NHK Arena,"6,000",Timrå,Timrå IK,2003
17,Skellefteå Kraft Arena,"5,801",Skellefteå,Skellefteå AIK,1966/2007
18,Malmö Isstadion,"5,800",Malmö,Ishockeyklubben Pantern Malmö Redhawks ( when Malmö Arena is unavailable ),1970
19,Vida Arena,"5,750",Växjö,Växjö Lakers,2011
20,PEAB Arena,"5,500",Nyköping,Nyköpings Hockey,2003
