Celebrity,Notability ( known for ),Professional partner,Status
Josie Maran,Model & actress,Alec Mazo,"Eliminated 1st on September 25 , 2007"
Albert Reed,Supermodel,Anna Trebunskaya,"Eliminated 2nd on October 2 , 2007"
Wayne Newton,Las Vegas entertainer,Cheryl Burke,"Eliminated 3rd on October 9 , 2007"
Floyd Mayweather Jr,Professional boxer,Karina Smirnoff,"Eliminated 4th on October 16 , 2007"
Mark Cuban,Dallas Mavericks owner & entrepreneur,Kym Johnson,"Eliminated 5th on October 23 , 2007"
Sabrina Bryan,The Cheetah Girls singer & actress,Mark Ballas,"Eliminated 6th on October 30 , 2007"
Jane Seymour,Film actress,Tony Dovolani,"Eliminated 7th on November 6 , 2007"
Cameron Mathison,All My Children actor & TV host,Edyta Śliwińska,"Eliminated 8th on November 13 , 2007"
Jennie Garth,Actress,Derek Hough,"Eliminated 9th on November 20 , 2007"
Marie Osmond,Entertainer,Jonathan Roberts,"Third place on November 27 , 2007"
Mel B,Spice Girls singer,Maksim Chmerkovskiy,"Runner-up on November 27 , 2007"
Hélio Castroneves,Indy 500 champion,Julianne Hough,"Winner on November 27 , 2007"
