Name,Association with RMIT,Notability
Ian Browne,attended,cyclist and Olympic and Commonwealth Games gold medallist
Christine Envall,attended,professional bodybuilder
Elizabeth Gardner,BAppSci ( Human ),freestyle skier
"Carrie Graf , OAM",BAppSci,basketballer and former coach of the Australia women 's national basketball team
"Allan Hahn , OAM","DAppSci ( honoris causa ) , faculty",sports scientist ; Emeritus Professor of the Australian Institute of Sport
"Steven Hooker , OAM",attended,pole vaulter and Olympic and Commonwealth Games gold medallist
Gus Johnston,BA ( Advert ),field hockey player and anti- homophobia in sports campaigner
"Lydia Lassila , OAM",B AppSci ( Human ),freestyle skier and Winter Olympic Games gold medallist
"Bill Lawry , AM",attended,former captain of the Australia national cricket team ; sports commentator
James Marburg,BA,rower and Olympic Games silver medallist
David Morris,current student,freestyle skier
"Nick Morris , OAM",BAppSci ( Human ),wheelchair basketballer and Paralympic Games gold medallist
Elizabeth Patrick,current student,rowing coxswain
Colin Ridgway,attended,former NFL player with Dallas Cowboys and first Australian to play in the NFL
Jared Tallent,current student,"race walker , Olympic Games silver and Commonwealth Games gold medallist"
"James Tomkins , OAM",BBus,rower and three-time Olympic Games gold medallist ; financial analyst
Peter Thomson,physics classes,golfer and five-time winner of the British Open
Max Walker,Dip Arch,former cricketer and AFL player with Melbourne Demons ; architect and entrepreneur
"Charlie Walsh , OAM",former faculty,former coach of Australian national cycling team ; helped develop the RMIT-AIS Olympic Superbike
Julien Wiener,BBus ( Management ),cricketer and first Jew to play for Australia
