Name,Chartered,Institution,Location,Status
Alpha Alpha Rho,1992,Appalachian State University,"Boone , NC",Active
Alpha Alpha Chi,1993,Duke University,"Durham , NC",Active
Alpha Beta Beta,1999,Elon University,"Elon , NC",Active
Alpha Beta Zeta,"April 1 , 1999",Wingate University,"Wingate , NC",Active
Alpha Beta Lambda,1999,North Carolina Wesleyan College,"Rocky Mount , NC",Active
Alpha Beta Xi,1999,Tennessee Tech University,"Cookeville , TN",Active
Alpha Beta Psi,"June 19 , 2001",Newberry College,"Newberry , SC",Active
Alpha Epsilon,"October 27 , 1927",Johnson C. Smith University,"Charlotte , NC",Active
Alpha Xi Alpha,"April 1 , 1996",East Tennessee State University,"Johnson City , TN",Active
Alpha Omicron,1935,Allen University,"Columbia , SC",Active
Alpha Tau Alpha,1998,Lander University,"Greenwood , SC",Active
Beta Beta Zeta,2002,Lenoir Rhyne University,"Hickory , NC",Active
Beta Beta Iota,2004,Coastal Carolina University,"Myrtle Beach , SC",Active
Beta Eta,1947,Knoxville College,"Knoxville , TN",Active
Beta Xi,1948,St. Augustine 's University,"Raleigh , NC",Active
Gamma Alpha Gamma,2007,University of South Carolina Upstate,"Spartanburg , SC",Active
Gamma Gamma,1949,North Carolina Central University,"Durham , NC",Active
Gamma Lambda Gamma,2016,Benedict College,"Columbia , SC",Active
Gamma Rho,1961,Elizabeth City State University,"Elizabeth City , NC",Active
Delta Alpha,"April 24 , 1932",Winston-Salem State University,"Winston-Salem , NC",Active
