Name,City/municipality,Province,Developer
Gaisano Capital Bislig,Bislig,Surigao del Sur,Gaisano
Gaisano Capital Surigao,Surigao City,Surigao del Norte,Gaisano
Gaisano Capital San Francisco,San Francisco,Agusan del Sur,Gaisano
Gaisano Capital Tandag,Tandag,Surigao del Sur,Gaisano
Gaisano Grand Marketplace Bayugan,Bayugan,Agusan del Sur,Gaisano
Gaisano Mall Butuan,Butuan,Agusan del Norte,Gaisano
Gaisano Grand Mall San Francisco,San Francisco,Agusan del Sur,Gaisano
Gaisano Grand Mall Tandag ( Soon to Rise ),Tandag,Surigao del Sur,
Prince Town,Bislig,Surigao del Sur,
Robinsons Place Butuan,Butuan,Agusan del Norte,Robinsons Land
Puregold Butuan,Butuan,Agusan del Norte,
ZCC Mall,Butuan,Agusan del Norte,
