Rank,Film,Year,Director,Studio ( s ),Worldwide gross
1,Chaar Sahibzaade,2014,Harry Baweja,Baweja Movies,₹ 70 crore ( US $ 9.8 million )
2,Carry on Jatta 2,2018,Smeep Kang,"White Hill Studio , A & A Advisors",₹ 62.37 crore ( US $ 8.7 million )
3,Sardaar Ji,2015,Rohit Jugraj Chauhan,White Hill Studio,₹ 50 crore ( US $ 7.0 million )
4,Manje Bistre,2017,Baljit Singh Deo,Humble Motion Pictures,₹ 45 crore ( US $ 6.3 million )
5,Angrej,2015,Simerjit Singh,Dara Productions,₹ 31 crore ( US $ 4.3 million )
6,Qismat,2018,Jagdeep Sidhu,Shri Narotam Productions,₹ 30 crore ( US $ 4.2 million )
7,Jatt & Juliet 2,2013,Anurag Singh,White Hill Studio,₹ 28 crore ( US $ 3.9 million )
8,Jatt & Juliet,2012,Anurag Singh,White Hill Studio,₹ 27 crore ( US $ 3.8 million )
9,Sajjan Singh Rangroot,2018,Pankaj Batra,Vivid Art House,₹ 26 crore ( US $ 3.6 million )
10,Love Punjab,2016,Rajiev Dhingra,Rhythm Boyz Entertainment,₹ 25.5 crore ( US $ 3.6 million )
