Pos,No,Driver,Constructor,Time,Gap
1,2,Alberto Ascari,Ferrari,1:51.1,-
2,12,Juan Manuel Fangio,Maserati,1:52.7,+1.6
3,6,Nino Farina,Ferrari,1:53.0,+1.9
4,4,Luigi Villoresi,Ferrari,1:53.7,+2.6
5,14,José Froilán González,Maserati,1:54.1,+3.0
6,8,Mike Hawthorn,Ferrari,1:54.9,+3.8
7,18,Toulo de Graffenried,Maserati,1:58.7,+7.6
8,10,Louis Rosier,Ferrari,1:59.5,+8.4
9,34,Stirling Moss,Connaught - Lea-Francis,2:00.0,+8.9
10,20,Harry Schell,Gordini,2:00.1,+9.0
11,26,Roy Salvadori,Connaught - Lea-Francis,2:00.5,+9.4
12,24,Maurice Trintignant,Gordini,2:01.2,+10.1
13,16,Felice Bonetto,Maserati,2:01.5,+10.4
14,28,Kenneth McAlpine,Connaught - Lea-Francis,2:01.9,+10.8
15,38,Lance Macklin,HWM - Alta,2:02.4,+11.3
16,36,Peter Collins,HWM - Alta,2:03.1,+12.0
17,30,Johnny Claes,Connaught - Lea-Francis,2:03.9,+12.8
18,32,Ken Wharton,Cooper - Bristol,2:06.4,+15.3
19,22,Roberto Mieres,Gordini,2:08.5,+17.4
20,40,Fred Wacker,Gordini,No time,-
