Year,Title,Director,Genre
1998,Guns for Sale,Richard Alwyn,documentary
2001,ABC Africa,Abbas Kiarostami,documentary
2006,Invisible Children,,short documentary
2010,Who Killed Captain Alex ?,Nabwana IGG,action film
2011,Hello,,short
2011,State Research Bureau,,
2012,The Life,Nana Kagga,drama film
2013,In Just Hours,Usama Mukwaya,short
2013,The Route,,
2014,Bala Bala Sese,,
2015,Tiktok,,short
2015,Sipi,,
2016,Queen of Katwe,Mira Nair,sports drama
2016,Bad Black,Nabwana IGG,action film
2018,Veronica 's Wish,Rehema Nanfuka,feature film
2018,BreadWinner,Ochwo emmax,short film
