US,CAN,Album,Artist,Record Label
15,5,Across the Borderline,Willie Nelson,Columbia
5,5,Alibis,Tracy Lawrence,Atlantic
6,7,Almost Goodbye,Mark Chesnutt,MCA Nashville
6,8,Big Time,Little Texas,Warner Bros
17,,A Bridge I Did n't Burn,Ricky Van Shelton,Columbia
6,12,Call of the Wild,Aaron Tippin,RCA Nashville
16,4,Cheap Seats,Alabama,RCA Nashville
8,1,Clay Walker,Clay Walker,Giant
,10,Closer to Paradise,Barra MacNeils,Mercury/PolyGram
1,1,Common Thread : The Songs of the Eagles,Various Artists,Giant
,1,Country Heat 3,Various Artists,RCA
34,19,Cowgirl 's Prayer,Emmylou Harris,Asylum
54,1,Croonin ',Anne Murray,SBK/Capitol
51,19,Drive,Steve Wariner,Arista Nashville
2,2,"Easy Come , Easy Go",George Strait,MCA Nashville
,6,Even Cowgirls Get the Blues Soundtrack,k.d . lang,Sire
,20,Feels Like Home,Cassandra Vasik,Epic
14,4,Fire in the Dark,Billy Dean,Liberty
,3,Five Days in July,Blue Rodeo,Warner
,2,For Our Fans,Alabama,RCA Nashville
