Team,Head coach,Captain,Kit manufacturer,Shirt sponsor
Assyriska FF,Valentic Azrudin,Stefan Batan,Nike,Scania
Degerfors IF,Patrik Werner,Tobias Solberg,adidas,Outokumpu
Falkenbergs FF,Hans Eklund,David Svensson,Nike,Gekås Ullared
GAIS,Thomas Askebrand,Kenneth Gustafsson,Puma,Various
GIF Sundsvall,Joel Cedergren Roger Franzén,Stefan Ålander,adidas,Various
Hammarby IF,Thomas Dennerby,Kennedy Bakircioglü,Kappa,Herbalife
IFK Värnamo,Sören Åkeby,Joel Löw,adidas,Various
IK Brage,Zvezdan Milošević,Andi Toompuu,Puma,SSAB
Jönköpings Södra IF,Mats Gren,Tommy Thelin,Nike,Various
Landskrona BoIS,Jörgen Pettersson,Linus Malmqvist,Masita,Various
Ljungskile SK,Tor-Arne Fredheim,Patrick Hopkins,Umbro,Various
Varbergs BoIS,Halda Kabil,Fredrik Björk,Umbro,Various
Ängelholms FF,Joakim Persson,Björn Westerblad,adidas,PEAB
Örebro SK,Per-Ola Ljung,Magnus Wikström,Puma,Malmbergs
Örgryte IS,Marcus Lantz,Jakob Lindström,Uhlsport,Various
Östersunds FK,Graham Potter,Petter Augustsson,adidas,PEAB
