Last,First,Year,Sport,Event,Country
Andersson,Jonas,2008,Swimming,100m Breaststroke,Sweden
Andersson,Jonas,2008,Swimming,4 × 100 m Relay ( Medley ),Sweden
Augmon,Stacey,1988,Basketball,,United States
Bartoch,Joe,2008,Swimming,100m Butterfly,Canada
Diaconescu,Ioana,2000,Swimming,4 × 100 m Relay ( Freestyle ),Romania
Diaconescu,Ioana,2000,Swimming,4 × 200 m Relay ( Freestyle ),Romania
Diaconescu,Ioana,2000,Swimming,4 × 100 m Relay ( Medley ),Romania
Dickel,Mark,2000,Basketball,,New Zealand
Dickel,Mark,2004,Basketball,,New Zealand
Harrigan,Lori,1996,Softball,,United States
Harrigan,Lori,2000,Softball,,United States
Harrigan,Lori,2004,Softball,,United States
Hortness,Richard,2008,Swimming,50m Freestyle,Canada
Hutchinson,Ayanna,2000,Track and Field,100m,Trinidad and Tobago
Hutchinson,Ayanna,2004,Track and Field,100m,Trinidad and Tobago
Hutchinson,Ayanna,2004,Track and Field,4 × 100 m relay,Trinidad and Tobago
Livingston,Andrew,2000,Swimming,100m Butterfly,Puerto Rico
Livingston,Andrew,2000,Swimming,200m Butterfly,Puerto Rico
Livingston,Andrew,2004,Swimming,200m Butterfly,Puerto Rico
Marion,Shawn,2004,Basketball,,United States
