Name,Location,Sponsor,Notes
Nitori Culture Hall,"Chuo-ku , Sapporo",Nitori,then Hokkaido Welfare Pension Hall ( Hokkaido Kosei Nenkin Kaikan )
Tokyo Electron Hall Miyagi,"Aoba-ku , Sendai",Tokyo Electron,then Miyagi Prefectual Hall
Hitachi Systems Hall Sendai,"Aoba-ku , Sendai",Hitachi Systems,then Sendai City Youth Culture Centre
Beisia Culture Hall,"Maebashi , Gunma Prefecture",Beisia,then Gunma Prefectual Hall
Humantrust Cinema Shibuya,"Shibuya , Tokyo",Humantrust,then Amuse Con amusement complex building
Humantrust Cinema Yurakucho,"Chuo , Tokyo",Humantrust,then Yurakucho Itoshia shopping building
Shibuya C.C . Lemon Hall,"Shibuya , Tokyo",C.C . Lemon / Dentsu,
ROHM Theatre Kyoto,"Sakyo-ku , Kyoto",Rohm,then Kyoto Kaikan
Hankyu Theater,"Nishinomiya , Hyogo Prefecture",Hankyu,then Hyogo Performing Arts Center-Theater
Sunstar Hall,"Saka , Hiroshima Prefecture",Sunstar,then Saka Culture Hall
