Year,Winner,Result,Runners-up
1992,Alga Bishkek,2-1,Alay Osh
1993,Alga-RIIF Bishkek,4-0,Alga Bishkek
1994,Ak-Maral Tokmak,2-1 a.e.t,Alay Osh
1995,Semetey Kyzyl-Kiya,2-0,Dinamo Bishkek
1996,AiK Bishkek,2-0,Metallurg Kadamjay
1997,Alga-PVO Bishkek,1-0,Dinamo-Alay Osh
1998,SKA-PVO Bishkek,3-0,Dinamo-Alay Osh
1999,SKA-PVO Bishkek,3-0,Semetey Kyzyl-Kiya
2000,SKA-PVO Bishkek,2-0,Dinamo-Alay Osh
2001,SKA-PVO Bishkek,1-0,Zhashtyk Ak Altyn Kara-Suu
2002,SKA-PVO Bishkek,1-0,Zhashtyk Ak Altyn Kara-Suu
2003,SKA-PVO Bishkek,1-0,Zhashtyk Ak Altyn Kara-Suu
2004,Dordoi-Dynamo Naryn,1-0,Zhashtyk Ak Altyn Kara-Suu
2005,Dordoi-Dynamo Naryn,1-0,Zhashtyk Ak Altyn Kara-Suu
2006,Dordoi-Dynamo Naryn,4-0,Zhashtyk Ak Altyn Kara-Suu
2007,Abdysh-Ata Kant,2-1,Lokomotiv Jalalabad
2008,Dordoi-Dynamo Naryn,2-2 a.e.t . ( 4-3 pen ),Zhashtyk Ak Altyn Kara-Suu
2009,Abdysh-Ata Kant,2-0,Alay Osh
2010,Dordoi-Dynamo Naryn,3-0,FC Neftchi Kochkor-Ata
2011,Abdysh-Ata Kant,1-0,FC Neftchi Kochkor-Ata
