Wins,Rider,Editions
7,Mariano Cañardo ( ESP ),"1928 , 1929 , 1930 , 1932 , 1935 , 1936 , 1939"
3,Miguel Indurain ( ESP ),"1988 , 1991 , 1992"
3,Alejandro Valverde ( ESP ),"2009 , 2017 , 2018"
2,Miguel Mucio ( ESP ),"1924 , 1925"
2,Victor Fontan ( FRA ),"1926 , 1927"
2,Emilio Rodríguez ( ESP ),"1947 , 1948"
2,Miguel Poblet ( ESP ),"1952 , 1960"
2,Salvador Botella ( ESP ),"1953 , 1959"
2,Marino Lejarreta ( ESP ),"1980 , 1989"
2,Sean Kelly ( IRL ),"1984 , 1986"
2,Joaquim Rodríguez ( ESP ),"2010 , 2014"
