Year,Title,Role,Channel
2009,Banoo Main Teri Dulhann,Viren,Zee TV
2010,Tere Liye,Subodh,Star Plus
2011,Laagi Tujhse Lagan,Digambar/Munna,Colors TV
2011,Bhagyavidhaata,Ratan,Colors TV
2012,Punar Vivah,Aman,Zee TV
2012,Main Lakshmi Tere Aangan Ki,Aditya,Life OK
2012,Byaah Hamari Bahoo Ka,Satya,Sony TV
2013,Desh Ki Beti Nandini,Sushant Raghuvanshi,Sony TV
2014,Doli Armaano Ki,Amrit,Zee Tv
2014,Sasural Simar Ka,Vikrant,Colors TV
2015,Yeh Dil Sun Raha Hai,Viraj,Sony Pal
2015,Diya Aur Baati Hum,Chandu,Star Plus
2018,Laal Ishq,Vivek,& TV
