Rank,Athlete,Nationality,Time,Notes
1,Zersenay Tadesse,Eritrea,58:59,CR
2,Patrick Makau Musyoki,Kenya,59:02,
3,Evans Kiprop Cheruiyot,Kenya,59:05,PB
4,Deriba Merga,Ethiopia,59:16,PB
5,Yonas Kifle,Eritrea,59:30,PB
6,Dieudonné Disi,Rwanda,59:32,NR
7,Marilson dos Santos,Brazil,59:33,AR
8,Dickson Marwa,Tanzania,1:00:24,PB
9,Atsushi Sato,Japan,1:00:25,AR
10,Cuthbert Nyasango,Zimbabwe,1:00:26,NR
11,Fabiano Joseph,Tanzania,1:00:27,
12,Raji Assefa,Ethiopia,1:00:31,PB
13,Michael Tesfay,Eritrea,1:00:39,PB
14,Ali Dawoud Sedam,Qatar,1:00:39,NR
15,Robert Kipkorir Kipchumba,Kenya,1:00:47,SB
16,Samson Kiflemariam,Eritrea,1:00:52,PB
17,Nicolas Kiprono,Uganda,1:00:57,NR
18,Tariku Jufar,Ethiopia,1:01:28,PB
19,Ezekiel Ngimba,Tanzania,1:01:28,PB
20,Pierre Joncheray,France,1:01:36,PB
