City,Rank,Major ovals,Total major tracks,Defunct tracks
New York City,1,,0,"Meadowlands , Bridgehampton , Trenton"
Los Angeles,2,Fontana,2,"Ontario , Riverside"
Chicago,3,Chicagoland,1,Cicero
Baltimore / Washington,4,,0,"Baltimore , Marlboro , RFK Stadium"
San Jose/San Francisco,5,,2,"San Jose , Altamont"
Boston,6,New Hampshire,1,
Philadelphia,7,Pocono,1,"Langhorne , Flemington , Nazareth"
Dallas / Fort Worth,8,Texas,1,Dallas
Miami,9,Homestead,1,"Miami , Miami , West Palm Beach"
Houston,10,,0,"Houston , Texas"
Atlanta,11,Atlanta,2,
Detroit,12,Michigan,2,
Seattle,13,,1,
Phoenix,14,Phoenix,1,Phoenix
Minneapolis / St. Paul,15,,0,Minneapolis
Cleveland,16,,0,Cleveland
Denver,17,,0,Denver
San Diego,18,,0,Del Mar
Portland,19,,0,
Orlando,20,Daytona,1,Walt Disney World
