Year,Winner,AVG,Team ( s ),Runner-up,2nd AVG
1876,Ross Barnes,.429,Chicago White Stockings,George Hall,.366
1877,Deacon White,.387,Boston Red Caps,John Cassidy,.378
1878,Paul Hines,.358,Providence Grays,Abner Dalrymple,.354
1879,Paul Hines,.357,Providence Grays,Jim O'Rourke,.348
1880,George Gore,.360,Chicago White Stockings,Cap Anson,.337
1881,Cap Anson,.399,Chicago White Stockings,Martin Powell,.338
1882,Dan Brouthers,.368,Buffalo Bisons,Cap Anson,.362
1883,Dan Brouthers,.374,Buffalo Bisons,Roger Connor,.357
1884,King Kelly,.354,Chicago White Stockings,Jim O'Rourke,.347
1885,Roger Connor,.371,New York Giants,Dan Brouthers,.359
1886,King Kelly,.388,Chicago White Stockings,Cap Anson,.371
1887,Sam Thompson,.372,Detroit Wolverines,Cap Anson,.347
1888,Cap Anson,.344,Chicago White Stockings,Jimmy Ryan,.332
1889,Dan Brouthers,.373,Boston Beaneaters,Jack Glasscock,.352
1890,Jack Glasscock,.336,New York Giants,Billy Hamilton,.325
1891,Billy Hamilton,.340,Philadelphia Phillies,Bug Holliday,.319
1892,Dan Brouthers,.335,Brooklyn Grooms,Billy Hamilton,.330
1893,Billy Hamilton,.380,Philadelphia Phillies,Sam Thompson,.370
1894,Hugh Duffy,.440,Boston Beaneaters,Tuck Turner,.418
1895,Jesse Burkett,.405,Cleveland Spiders,Ed Delahanty,.404
