Year,Champion,Score,Runner-up,City,Arena
2001,Minnesota-Duluth,4-2,St. Lawrence,"Minneapolis , MN",Mariucci Arena
2002,Minnesota-Duluth ( 2 ),3-2,Brown,"Durham , NH",Whittemore Center
2003,Minnesota-Duluth ( 3 ),4-3 ( 2OT ),Harvard,"Duluth , MN",DECC Arena
2004,Minnesota,6-2,Harvard,"Providence , RI",Dunkin ' Donuts Center
2005,Minnesota ( 2 ),4-3,Harvard,"Durham , NH",Whittemore Center
2006,Wisconsin,3-0,Minnesota,"Minneapolis , MN",Mariucci Arena
2007,Wisconsin ( 2 ),4-1,Minnesota-Duluth,"Lake Placid , NY",Herb Brooks Arena
2008,Minnesota-Duluth ( 4 ),4-0,Wisconsin,"Duluth , MN",DECC Arena
2009,Wisconsin ( 3 ),5-0,Mercyhurst,"Boston , MA",Agganis Arena
2010,Minnesota-Duluth ( 5 ),3-2 ( 3OT ),Cornell,"Minneapolis , MN",Ridder Arena
2011,Wisconsin ( 4 ),4-1,Boston University,"Erie , PA",Erie Insurance Arena
2012,Minnesota ( 3 ),4-2,Wisconsin,"Duluth , MN",AMSOIL Arena
2013,Minnesota ( 4 ),6-3,Boston University,"Minneapolis , MN",Ridder Arena
2014,Clarkson,5-4,Minnesota,"Hamden , CT",People 's United Center
2015,Minnesota ( 5 ),4-1,Harvard,"Minneapolis , MN",Ridder Arena
2016,Minnesota ( 6 ),3-1,Boston College,"Durham , NH",Whittemore Center
2017,Clarkson ( 2 ),3-0,Wisconsin,"St. Charles , MO",Family Arena
2018,Clarkson ( 3 ),2-1 ( OT ),Colgate,"Minneapolis , MN",Ridder Arena
2019,Wisconsin ( 5 ),2-0,Minnesota,"Hamden , CT",People 's United Center
2020,TBD,TBD,TBD,"Boston , MA",Agganis Arena
