Year,Title,Role
1999,Women Talking Dirty,Sam
2004,Two Brothers,Raoul Normandin
2004,Finding Neverland,Peter Llewelyn Davies
2004,Five Children and It,Robert
2005,Charlie and the Chocolate Factory,Charlie Bucket
2006,A Good Year,Young Max Skinner
2006,Arthur and the Invisibles,Arthur Montgomery
2007,August Rush,Evan Taylor/August Rush
2007,The Golden Compass,Pantalaimon
2008,The Spiderwick Chronicles,Jared and Simon Grace
2008,A Fox 's Tale,Little Jack
2009,Astro Boy,Toby Tenma / Astro Boy
2009,Arthur and the Revenge of Maltazard,Arthur Montgomery
2010,Arthur 3 : The War of the Two Worlds,Arthur Montgomery
2010,Master Harold ... and the Boys,Hally Ballard
2010,Toast,Nigel Slater
2011,The Art of Getting By,George Zinavoy
2013,Justin and the Knights of Valour,Justin
2016,The Journey,Jack
2016,Almost Friends,Charlie Brenner
