Hospital name,City,County,Acute Care Beds,Affiliation
AdventHealth Gordon,Calhoun,Gordon,69,AdventHealth
AdventHealth Murray,Chatsworth,Murray,29,AdventHealth
Archbold Memorial Hospital,Thomasville,Thomas,264,Archbold
Archbold - Brooks County Hospital,Quitman,Brooks,25,Archbold
Archbold - Grady General Hospital,Cairo,Grady,60,Archbold
Archbold - Mitchell County Hospital,Camilla,Mitchell,25,Archbold
Augusta University Children 's Hospital of Georgia,Augusta,Richmond,154,Augusta University
Augusta University Medical Center,Augusta,Richmond,478,Augusta University
Beverly Knight Olson Children 's Hospital,Macon,Bibb,,Atrium/Navicent
Bleckley Memorial Hospital,Cochran,Bleckley,25,-
"Cancer Treatment Centers of America , Atlanta",Newnan,Coweta,,CTCA
Candler County Hospital,Metter,Candler,25,-
Candler Hospital,Savannah,Chatham,384,SJCHS
Cartersville Medical Center,Cartersville,Bartow,112,HCA
Chatuge Regional Hospital,Hiawassee,Towns,137,Union Regional
CHI Memorial Hospital Georgia,Fort Oglethorpe,Catoosa,36,CHI
Children 's Healthcare of Atlanta Egleston,Atlanta,DeKalb,,CHOA
Children 's Healthcare of Atlanta Hughes Spalding,Atlanta,Fulton,,CHOA
Children 's Healthcare of Atlanta Scottish Rite,Atlanta,Fulton,,CHOA
Clinch Memorial Hospital,Homerville,Clinch,25,-
