Name,Place,Region,Bundesland,Type
Beckdorf,Beckdorf,Landkreis Stade,Lower Saxony,Hilly-grave
Heidelberg,Wiera,Schwalm-Eder-Kreis,Hesse,Hill-grave
Mellingstedt,Lemsahl-Mellingstedt,Wandsbek,Hamburg,Hilly-grave
Höltinghausen,Höltinghausen,Landkreis Cloppenburg,Lower Saxony,Hilly-grave field
Plankenheide,Nettetal,Kreis Viersen,North Rhine-Westphalia,Hill-grave
Kranzberger Forst,Kranzberg,Landkreis Freising,Bavaria,19 Hilly-graves
Maaschwitz,Maaschwitz,Muldentalkreis,Saxony,Hilly-graves
Plaggenschale,Plaggenschale,Landkreis Osnabrück,Lower Saxony,
Tumulus von Nennig,Nennig,Landkreis Merzig-Wadern,Saarland,Grave-hill
Winckelbarg,,Landkreis Stade,Lower Saxony,
