Cathedral,Archdiocese or Diocese,Location,Dedication,Notes
Basse-Terre Cathedral Cathédrale Notre-Dame-de-Guadeloupe de Basse-Terre,Basse-Terre,"Guadeloupe , Basse-Terre",Our Lady of Guadeloupe,"cathedral , minor basilica"
Cayenne Cathedral Cathédrale Saint-Sauveur de Cayenne,Cayenne,"French Guiana , Cayenne",Holy Saviour,cathedral
Fort-de-France Cathedral Cathédrale Saint-Louis de Fort-de-France,Fort-de-France,"Martinique , Fort-de-France",Saint Louis,cathedral
Matâ'Utu Cathedral Cathédrale Notre-Dame-de-l'Assomption de Matâ'Utu,Wallis and Futuna,"Wallis and Futuna , Matâ'Utu",Assumption of the Blessed Virgin Mary,cathedral
Nouméa Cathedral Cathédrale Saint-Joseph de Nouméa,Nouméa,"New Caledonia , Nouméa",Saint Joseph,cathedral
Papeete Cathedral Cathédrale Notre-Dame de Papeete,Papeete,"French Polynesia , Tahiti , Papeete",Blessed Virgin Mary,cathedral
Pointe-à-Pitre Cathedral Cathédrale Saint-Pierre-et-Saint-Paul de Pointe-à-Pitre,Basse-Terre,"Guadeloupe , Pointe-à-Pitre",Saint Peter and Saint Paul,former cathedral
"Saint-Denis Cathedral , Réunion Cathédrale Saint-Denis de Saint-Denis , Réunion",Saint-Denis-de-La Réunion,"Réunion , Saint-Denis",Saint Denis,cathedral
Saint-Pierre Cathedral Cathédrale Saint-Pierre de Saint-Pierre ( Saint-Pierre-et-Miquelon ),Iles Saint-Pierre et Miquelon,"Saint Pierre and Miquelon , Saint-Pierre",Saint Peter,cathedral
Tai o Hae Cathedral Cathédrale Notre-Dame de Taiohae or Cathédrale Notre-Dame des Marquises,Taiohae,"French Polynesia , Marquesas Islands , Tai o Hae",Blessed Virgin Mary,cathedral
