Year,Song,Film,Music Director,Lyricist
1971,Zindagi Ek Safar,Andaz,Shankar Jaikishan,Hasrat Jaipuri
1971,Yeh Jo Mohabbat Hai,Kati Patang,Rahul Dev Burman,Anand Bakshi
1972,Chingari Koi Bhadke,Amar Prem,Rahul Dev Burman,Anand Bakshi
1973,Mere Dil Mein Aaj,Daag : A Poem of Love,Laxmikant-Pyarelal,Sahir Ludhianvi
1974,Gaadi Bula Rahi Hai,Dost,Laxmikant-Pyarelal,Anand Bakshi
1974,Mera Jeevan Kora Kagaz,Kora Kagaz,Kalyanji Anandji,M.G.Hashmat
1975,Main Pyaasa Tum,Faraar,Kalyanji Anandji,Rajendra Krishan
1975,O Manjhi Re,Khushboo,Rahul Dev Burman,Gulzar
1977,Aap Ke Anurodh,Anurodh,Laxmikant-Pyarelal,Anand Bakshi
1978,O Saathi Re,Muqaddar Ka Sikandar,Kalyanji Anandji,Anjaan
1978,Hum Bewafa Harghiz,Shalimar,Rahul Dev Burman,Anand Bakshi
1979,Ek Rasta Hai Zindagi,Kaala Patthar,Rajesh Roshan,Sahir Ludhianvi
1980,Om Shanti Om,Karz,Laxmikant-Pyarelal,Anand Bakshi
1981,Hameh Tumse Pyar,Kudrat,Rahul Dev Burman,Majrooh Sultanpuri
1981,Chhookar Mere Mann Ko,Yaraana,Rajesh Roshan,Anjaan
1983,Shayad Meri Shaadi,Souten,Usha Khanna,Sawan Kumar Tak
1984,De De Pyar De,Sharaabi,Bappi Lahiri,Anjaan
1984,Inteha Ho Gayi,Sharaabi,Bappi Lahiri,Anjaan
1984,Log Kehete Hai ( Mujhe Naulakha Manga De ),Sharaabi,Bappi Lahiri,Anjaan
