Name,Chartered,Institution,Location
Beta Alpha,"January 30 , 1937",Florida A & M University,"Tallahassee , Florida"
Beta Beta,1921,"Washington , D.C. Alumnae Chapter","Washington , District of Columbia"
Beta Gamma,1937,Dillard University,"New Orleans , Louisiana"
Beta Delta,1937,,"Dallas , Texas"
Beta Epsilon,1937,Virginia Union University,"Richmond , Virginia"
Beta Zeta,1937,Pittsburg State University,"Pittsburg , Kansas"
Beta Eta,"May 7 , 1937",Alabama State University,"Montgomery , Alabama"
Beta Theta,1937,Phoenix City-Wide,"Phoenix , AZ"
Beta Iota,1937,University of the District of Columbia,"Washington , District of Columbia"
Beta Kappa,1947,Livingstone College,"Salisbury , North Carolina"
Beta Lambda,1938,University of Toledo,"Toledo , Ohio"
Beta Mu,1938,San Diego State University,"San Diego , California"
Beta Nu,1938,Gary Alumnae Chapter,"Gary , Indiana"
Beta Omicron,1938,,"Corpus Christi , Texas"
Beta Pi,1938,Bluefield State College,"Bluefield , West Virginia"
Beta Rho,1938,,"Fort Worth , Texas"
Beta Sigma,,"Washington , D.C. Alumnae Chapter","Washington , District of Columbia"
Beta Tau,,Milwaukee Alumnae Chapter,"Milwaukee , Wisconsin"
Beta Upsilon,1939,Langston University,"Langston , Oklahoma"
Beta Phi,"February 18 , 1939",Denver Alumnae Chapter,"Denver , Colorado"
