Name,Position,Club Signed,Date
Wade McKinnon,Fullback,Released,May 2012
Jordan Turner,Centre,St Helens R.F.C,May 2012
Eamon O'Carroll,Prop,Widnes Vikings,June 2012
Willie Manu,Second Row,St Helens R.F.C,June 2012
Jamie Ellis,Scrum Half,Castleford Tigers,July 2012
Laurence Pearce,Second Row,Switched Codes to Rotherham Titans RU,June 2012
Tony Martin,Centre,Retirement,August 2012
Sam Moa,Prop,Sydney Roosters,August 2012
Will Sharp,Wing,Released,September 2012
Liam Cunningham,Centre,Released,September 2012
Lewis Brown,Centre,Released,September 2012
Mike Burnett,Second Row,Released,September 2012
Reece Lyne,Fullback,Wakefield Trinity Wildcats,October 2012
